geoid,state,median_household_income,population,classification
066240765677,California,121919,5692,Public
067777727204,California,84506,2410,Public
061441553036,California,62299,7482,Public
067393627041,California,69379,3037,Public
061941149094,California,115733,6538,Public
065060903530,California,114949,1772,Public
067894919667,California,111476,2190,Public
064033196845,California,40318,3114,Public
065544627914,California,60781,4599,Public
061024816194,California,87738,5408,Public
067318128681,California,112214,2879,Public
068523394850,California,122191,2336,Public
488618103608,Texas,36671,4432,Public
481231022386,Texas,124022,2945,Public
483929276527,Texas,104648,5008,Public
488262206470,Texas,93901,2032,Public
483424801718,Texas,120506,7356,Public
483152388326,Texas,56048,4032,Public
481646211233,Texas,48959,3634,Public
485885309947,Texas,75263,3778,Public
484194406666,Texas,74486,1635,Public
487813774889,Texas,113815,2525,Public
487138945768,Texas,107574,5272,Public
485376424757,Texas,57271,1567,Public
123963665862,Florida,62483,7427,Public
128415386361,Florida,44359,7220,Public
126264226357,Florida,46837,2075,Public
128481967025,Florida,79189,6182,Public
126791668801,Florida,67011,2268,Public
125113911609,Florida,120920,3555,Public
127372455571,Florida,41439,2044,Public
125846035033,Florida,125303,1677,Public
129537839418,Florida,92924,5226,Public
125712685145,Florida,84036,2890,Public
122974961840,Florida,66515,7444,Public
126709593080,Florida,101692,3229,Public
367365958965,New York,59437,1884,Public
365915687906,New York,95950,2948,Public
367874349453,New York,51158,1691,Public
363188762624,New York,77875,2947,Public
367926223356,New York,40340,2699,Public
364078931399,New York,112718,1555,Public
368865421645,New York,101690,2661,Public
368008913863,New York,71015,4798,Public
364840267233,New York,103506,5526,Public
364694183808,New York,92446,6250,Public
369233214530,New York,40154,1937,Public
369014516013,New York,89400,6883,Public
178412108510,Illinois,117328,1799,Public
174547394602,Illinois,38482,4337,Public
177104236524,Illinois,115097,5548,Public
176979571215,Illinois,112937,4890,Public
173765572464,Illinois,50948,1609,Public
172671567348,Illinois,42241,2479,Public
177180502171,Illinois,51577,1522,Public
172311378594,Illinois,106002,3596,Public
174424257183,Illinois,71210,5256,Public
178426426991,Illinois,73876,1530,Public
171404931331,Illinois,68609,4619,Public
172605957714,Illinois,100422,3839,Public
421844173504,Pennsylvania,74884,5830,Public
422467826770,Pennsylvania,115979,4147,Public
428911792123,Pennsylvania,101407,2118,Public
429754015710,Pennsylvania,105537,3326,Public
426225207343,Pennsylvania,126177,1904,Public
421595515790,Pennsylvania,63598,3583,Public
422761866597,Pennsylvania,51662,3074,Public
426175534820,Pennsylvania,57672,4281,Public
425104121958,Pennsylvania,96463,5891,Public
428398141451,Pennsylvania,116764,6692,Public
427606346933,Pennsylvania,72394,2093,Public
429143626622,Pennsylvania,127590,3023,Public
396950384885,Ohio,124730,6443,Public
396555281547,Ohio,95778,7311,Public
391355592391,Ohio,95110,2049,Public
399349513393,Ohio,97855,4695,Public
397064936052,Ohio,54154,2636,Public
396673706263,Ohio,93873,5988,Public
397529209204,Ohio,126032,2331,Public
399403602618,Ohio,128396,2307,Public
398697214561,Ohio,58888,1659,Public
393708455852,Ohio,123592,3455,Public
394112083789,Ohio,74344,3350,Public
391505534677,Ohio,59680,5880,Public
137887319131,Georgia,53830,3291,Public
133519593246,Georgia,115265,2604,Public
133259419704,Georgia,59158,3835,Public
138785606673,Georgia,69618,5054,Public
139569233197,Georgia,98917,2277,Public
137905676179,Georgia,36618,6397,Public
132015592624,Georgia,112912,6764,Public
131868009813,Georgia,67227,5379,Public
136413074077,Georgia,69140,4217,Public
132152269353,Georgia,111832,1747,Public
136212113889,Georgia,53482,5971,Public
134005306666,Georgia,106273,6668,Public
376706619215,North Carolina,127677,4466,Public
378973262441,North Carolina,39584,3375,Public
373899014485,North Carolina,42280,6139,Public
375238378738,North Carolina,116935,6239,Public
378933221126,North Carolina,66672,7200,Public
378042123580,North Carolina,119162,4310,Public
375117304758,North Carolina,35961,5370,Public
377448934590,North Carolina,99487,6086,Public
378794642060,North Carolina,74410,4936,Public
378856043660,North Carolina,43028,7022,Public
379649838496,North Carolina,99165,2064,Public
374287743838,North Carolina,121836,7070,Public
269671247122,Michigan,66927,2979,Public
264056581973,Michigan,91925,5870,Public
269959154557,Michigan,39864,6907,Public
268184163877,Michigan,129402,6628,Public
266134774812,Michigan,83021,2582,Public
262501809605,Michigan,62602,4089,Public
263573219424,Michigan,125028,5670,Public
266581574881,Michigan,84759,6594,Public
264207192837,Michigan,78450,1948,Public
265182814907,Michigan,49243,2624,Public
264195213690,Michigan,57492,2073,Public
262720118591,Michigan,35220,2854,Public
