payment_id,invoice_id,payment_date,amount,payment_method,reference_number,_ingested_at
1,199,2024-12-17,32.07,credit_card,REF-668486,2024-12-18T08:04:00
2,177,2025-11-22,77.35,check,REF-821155,2025-11-22T23:19:50
3,304,2025-07-08,65.85,bank_transfer,REF-989383,2025-07-09T18:45:28
4,439,2024-03-09,117.91,bank_transfer,REF-528280,2024-03-09T23:20:05
5,267,2024-01-16,124.43,credit_card,REF-403205,2024-01-17T02:01:02
6,268,2023-03-11,22.06,wire,REF-232458,2023-03-12T04:59:06
7,56,2025-11-12,69.54,wire,REF-799492,2025-11-12T20:22:41
8,397,2025-05-14,97.16,credit_card,REF-297764,2025-05-14T22:46:51
9,204,2025-07-10,23.70,ach,REF-826447,2025-07-11T13:45:59
10,68,2025-08-21,40.81,credit_card,REF-907186,2025-08-22T15:59:22
11,89,2023-03-06,25.52,wire,REF-163269,2023-03-07T06:58:40
12,394,2024-07-25,114.50,ach,REF-664828,2024-07-26T21:28:00
13,372,2025-10-08,22.95,ach,REF-879241,2025-10-08T21:51:53
14,390,2025-11-21,37.42,check,REF-148473,2025-11-22T13:42:06
15,400,2025-12-21,121.86,wire,REF-873778,2025-12-21T23:20:14
16,164,2025-12-04,164.90,bank_transfer,REF-215613,2025-12-04T06:21:32
17,320,2025-08-26,139.44,check,REF-369366,2025-08-26T15:15:54
18,411,2024-08-30,125.05,check,REF-244357,2024-08-30T19:46:36
19,306,2024-12-22,129.07,bank_transfer,REF-483347,2024-12-22T03:21:28
20,213,2023-02-24,44.57,wire,REF-550391,2023-02-25T00:53:18
21,86,2023-03-15,162.85,bank_transfer,REF-983250,2023-03-15T13:56:07
22,125,2025-01-04,36.94,check,REF-795027,2025-01-04T08:02:08
23,344,2024-06-20,104.53,credit_card,REF-484345,2024-06-20T18:55:20
24,199,2023-11-29,17.94,credit_card,REF-931227,2023-11-30T14:14:22
25,91,2024-04-02,202.33,check,REF-226802,2024-04-02T10:04:12
26,437,2025-02-28,196.88,wire,REF-388117,2025-02-28T13:31:50
27,159,2024-05-18,90.63,bank_transfer,REF-247227,2024-05-18T06:57:24
28,228,2025-10-30,139.04,credit_card,REF-338899,2025-10-31T02:10:48
29,294,2024-08-31,184.64,bank_transfer,REF-239001,2024-08-31T15:45:34
30,123,2023-02-28,38.05,check,REF-728556,2023-02-28T18:49:03
31,325,2023-10-12,21.87,wire,REF-338595,2023-10-12T13:40:19
32,318,2023-10-01,18.27,ach,REF-876054,2023-10-02T07:04:54
33,327,2024-10-29,8.69,check,REF-107908,2024-10-30T02:43:43
34,322,2025-01-12,38.67,wire,REF-825938,2025-01-13T05:43:47
35,280,2025-10-05,58.10,check,REF-877646,2025-10-06T05:47:01
36,14,2024-01-15,8.91,wire,REF-510256,2024-01-16T09:42:03
37,430,2025-12-15,205.48,bank_transfer,REF-845308,2025-12-15T20:15:28
38,8,2024-03-31,377.90,check,REF-353458,2024-03-31T21:26:55
39,497,2024-04-20,222.36,check,REF-355356,2024-04-20T15:41:31
40,220,2024-11-08,356.74,check,REF-207351,2024-11-08T21:36:14
41,208,2023-03-18,44.50,bank_transfer,REF-268934,2023-03-18T21:21:07
42,389,2025-03-17,53.03,credit_card,REF-435648,2025-03-17T13:13:29
43,221,2023-02-04,166.03,check,REF-889422,2023-02-04T14:52:13
44,270,2025-03-15,6.86,credit_card,REF-806466,2025-03-16T05:19:59
45,74,2025-10-16,7.94,wire,REF-318944,2025-10-16T21:19:24
46,433,2024-09-23,86.67,check,REF-476233,2024-09-24T02:22:37
47,327,2023-03-07,65.36,bank_transfer,REF-246132,2023-03-07T05:56:11
48,203,2023-03-19,21.29,wire,REF-386997,2023-03-20T00:14:27
49,101,2025-02-13,56.07,credit_card,REF-507992,2025-02-14T12:40:07
50,45,2025-11-25,53.72,credit_card,REF-691625,2025-11-25T23:41:22
51,468,2023-07-17,19.05,ach,REF-729475,2023-07-18T04:48:52
52,79,2024-03-24,69.73,bank_transfer,REF-577342,2024-03-25T05:59:58
53,249,2024-07-22,79.47,wire,REF-804593,2024-07-23T20:59:47
54,153,2025-01-12,234.25,credit_card,REF-926314,2025-01-13T07:59:55
55,132,2024-11-14,35.66,check,REF-454138,2024-11-14T17:30:23
56,256,2025-03-14,47.42,bank_transfer,REF-747088,2025-03-15T13:22:49
57,36,2023-04-08,47.62,credit_card,REF-383776,2023-04-09T15:59:38
58,234,2023-08-26,248.85,wire,REF-730503,2023-08-26T20:38:03
59,243,2024-02-07,188.07,bank_transfer,REF-797946,2024-02-07T13:46:52
60,267,2025-11-01,36.10,ach,REF-391078,2025-11-02T01:19:27
61,345,2023-05-12,42.81,check,REF-148699,2023-05-13T06:18:24
62,115,2025-10-22,97.52,ach,REF-551599,2025-10-23T05:17:39
63,241,2025-05-31,81.22,credit_card,REF-723443,2025-06-01T10:00:04
64,368,2025-12-30,67.88,credit_card,REF-485224,2025-12-30T10:52:09
65,180,2023-05-15,76.36,wire,REF-166372,2023-05-15T23:05:01
66,368,2025-07-12,18.08,ach,REF-471370,2025-07-13T18:23:50
67,348,2024-04-09,137.84,credit_card,REF-108800,2024-04-10T00:15:08
68,266,2025-08-13,45.49,check,REF-315096,2025-08-13T15:18:59
69,352,2023-07-02,39.55,bank_transfer,REF-372303,2023-07-03T10:37:24
70,93,2025-10-21,13.48,ach,REF-977688,2025-10-21T10:40:35
71,317,2024-02-12,487.44,bank_transfer,REF-201051,2024-02-13T04:12:26
72,232,2025-09-13,226.32,credit_card,REF-791080,2025-09-14T02:08:11
73,44,2025-04-10,48.59,credit_card,REF-615264,2025-04-10T21:01:01
74,9,2024-09-17,11.59,bank_transfer,REF-884032,2024-09-18T17:33:59
75,395,2025-06-10,68.84,wire,REF-698359,2025-06-10T09:59:49
76,268,2025-08-02,488.55,ach,REF-440896,2025-08-03T00:27:45
77,234,2024-05-05,56.02,bank_transfer,REF-625846,2024-05-06T05:26:04
78,130,2024-07-07,60.81,check,REF-257128,2024-07-08T09:10:39
79,500,2025-11-02,32.95,ach,REF-604001,2025-11-02T22:17:13
80,358,2025-06-03,109.60,credit_card,REF-851848,2025-06-03T11:57:55
81,20,2024-02-23,77.40,credit_card,REF-796003,2024-02-23T17:24:23
82,310,2024-01-20,21.80,bank_transfer,REF-455067,2024-01-21T08:32:33
83,265,2025-01-19,34.23,ach,REF-219737,2025-01-19T12:04:21
84,227,2023-04-28,86.45,bank_transfer,REF-661252,2023-04-28T17:23:01
85,203,2025-08-29,34.36,wire,REF-612170,2025-08-29T19:40:40
86,205,2024-11-27,39.66,ach,REF-660201,2024-11-28T17:45:10
87,139,2023-10-30,24.19,ach,REF-669779,2023-10-31T08:39:13
88,327,2024-09-28,26.37,ach,REF-948786,2024-09-29T01:32:22
89,377,2023-02-02,65.84,ach,REF-809520,2023-02-02T15:55:07
90,254,2024-02-19,15.45,wire,REF-912122,2024-02-19T22:36:05
91,327,2025-09-27,12.33,wire,REF-929791,2025-09-27T09:08:11
92,231,2023-05-30,93.44,wire,REF-310877,2023-05-31T08:30:28
93,498,2024-06-26,30.47,check,REF-175208,2024-06-27T05:45:10
94,202,2024-12-02,51.40,wire,REF-301613,2024-12-02T23:08:42
95,42,2023-02-11,89.16,check,REF-983440,2023-02-12T08:07:34
96,37,2024-04-06,95.44,wire,REF-277030,2024-04-06T16:18:18
97,9,2024-11-09,125.82,credit_card,REF-998182,2024-11-10T02:36:57
98,162,2024-04-30,149.37,check,REF-166832,2024-05-01T13:37:32
99,164,2025-07-01,93.73,check,REF-645892,2025-07-02T15:14:05
100,313,2025-07-04,100.57,check,REF-151862,2025-07-05T05:04:40
101,84,2024-12-07,238.74,bank_transfer,REF-729821,2024-12-07T20:32:51
102,224,2025-01-04,69.38,credit_card,REF-406825,2025-01-05T06:54:52
103,244,2023-06-24,37.38,wire,REF-526735,2023-06-25T01:32:13
104,359,2024-01-01,8.16,check,REF-992123,2024-01-01T20:51:28
105,365,2024-08-30,28.71,wire,REF-958716,2024-08-30T09:23:08
106,465,2024-06-06,31.19,check,REF-447426,2024-06-07T08:19:39
107,430,2024-02-20,12.85,credit_card,REF-816472,2024-02-21T05:38:13
108,180,2024-06-19,89.22,credit_card,REF-297791,2024-06-19T15:34:06
109,211,2025-02-17,120.20,wire,REF-437470,2025-02-18T10:28:13
110,176,2025-09-18,43.33,ach,REF-866124,2025-09-18T23:28:51
111,86,2024-04-13,49.56,bank_transfer,REF-795122,2024-04-14T19:26:22
112,440,2023-07-24,17.85,ach,REF-343501,2023-07-24T17:56:30
113,395,2025-05-03,168.97,credit_card,REF-927267,2025-05-04T14:44:25
114,392,2023-05-19,43.16,check,REF-983731,2023-05-19T05:12:04
115,476,2025-01-04,67.54,wire,REF-645904,2025-01-04T17:00:05
116,359,2025-06-15,7.19,bank_transfer,REF-199530,2025-06-16T04:01:02
117,467,2023-05-02,179.89,wire,REF-733178,2023-05-03T07:29:59
118,266,2024-06-11,40.55,bank_transfer,REF-440895,2024-06-11T03:55:43
119,96,2023-12-21,158.22,ach,REF-801275,2023-12-21T17:07:53
120,188,2025-08-06,51.65,wire,REF-921328,2025-08-07T12:47:51
121,239,2025-02-16,32.54,check,REF-860556,2025-02-17T00:49:58
122,267,2023-02-17,50.28,wire,REF-178043,2023-02-17T23:59:41
123,443,2023-05-17,61.34,wire,REF-213885,2023-05-18T06:56:42
124,105,2023-08-25,126.46,ach,REF-674583,2023-08-26T00:20:08
125,96,2025-03-09,381.13,wire,REF-655306,2025-03-09T21:53:25
126,341,2023-03-28,14.51,bank_transfer,REF-486744,2023-03-29T09:01:04
127,459,2024-07-14,316.74,check,REF-897732,2024-07-15T08:14:32
128,357,2023-05-28,18.54,ach,REF-382744,2023-05-29T02:21:22
129,354,2025-06-05,254.85,credit_card,REF-421395,2025-06-05T15:05:24
130,47,2025-05-18,40.31,credit_card,REF-786430,2025-05-19T04:24:52
131,350,2025-08-11,9.32,bank_transfer,REF-942829,2025-08-12T06:46:44
132,139,2024-11-21,82.29,check,REF-246948,2024-11-21T19:41:16
133,239,2024-05-18,111.21,ach,REF-992365,2024-05-19T06:15:01
134,259,2024-11-14,427.49,credit_card,REF-484996,2024-11-15T01:25:56
135,360,2023-05-11,14.03,ach,REF-242605,2023-05-11T22:57:46
136,257,2024-04-13,36.96,bank_transfer,REF-903556,2024-04-13T07:11:49
137,360,2025-09-08,208.61,credit_card,REF-608676,2025-09-09T19:34:57
138,253,2024-09-15,67.60,ach,REF-852823,2024-09-15T12:41:56
139,413,2023-12-11,193.10,ach,REF-875607,2023-12-11T05:37:41
140,216,2024-12-08,18.91,credit_card,REF-897267,2024-12-08T17:49:43
141,386,2025-05-14,38.67,credit_card,REF-321558,2025-05-14T18:17:15
142,347,2025-02-10,49.85,check,REF-514021,2025-02-11T00:24:09
143,27,2023-07-10,70.68,ach,REF-584479,2023-07-10T07:59:20
144,42,2023-12-19,126.64,check,REF-703555,2023-12-20T16:54:52
145,471,2023-07-11,65.20,wire,REF-805602,2023-07-11T20:17:25
146,460,2025-09-06,101.79,check,REF-650530,2025-09-06T19:38:38
147,218,2023-09-06,200.10,check,REF-447868,2023-09-07T06:45:38
148,26,2024-03-10,72.75,wire,REF-552216,2024-03-11T00:10:02
149,276,2023-08-16,106.04,ach,REF-357576,2023-08-16T09:44:57
150,2,2024-01-08,26.62,wire,REF-294438,2024-01-09T05:01:45
151,251,2024-05-22,218.25,credit_card,REF-977538,2024-05-23T11:45:48
152,404,2024-07-22,60.96,wire,REF-602883,2024-07-23T00:31:22
153,380,2025-06-23,173.46,credit_card,REF-954087,2025-06-23T18:11:17
154,60,2023-02-21,29.54,bank_transfer,REF-745587,2023-02-22T12:30:10
155,155,2025-06-07,91.97,check,REF-680808,2025-06-07T15:34:41
156,205,2023-10-17,26.32,check,REF-922578,2023-10-18T04:02:29
157,77,2024-07-15,32.98,wire,REF-484159,2024-07-15T23:05:56
158,213,2024-11-04,59.00,check,REF-795320,2024-11-05T02:29:22
159,219,2025-01-31,63.49,wire,REF-706939,2025-02-01T05:21:49
160,370,2025-05-03,102.64,ach,REF-992271,2025-05-03T19:56:07
161,179,2025-05-24,28.34,credit_card,REF-760713,2025-05-24T17:53:14
162,397,2024-09-11,529.80,wire,REF-252511,2024-09-11T21:14:40
163,37,2023-12-06,46.48,wire,REF-579667,2023-12-06T16:09:00
164,346,2024-03-29,37.23,bank_transfer,REF-805243,2024-03-30T23:43:39
165,45,2024-09-01,126.59,credit_card,REF-624086,2024-09-02T07:59:51
166,61,2024-03-07,24.84,credit_card,REF-345615,2024-03-07T23:20:03
167,262,2025-10-15,66.65,ach,REF-925228,2025-10-16T06:00:06
168,180,2025-11-06,516.38,wire,REF-559365,2025-11-07T09:19:33
169,219,2025-06-30,96.77,bank_transfer,REF-226864,2025-06-30T14:11:10
170,110,2023-06-24,264.40,ach,REF-955919,2023-06-24T08:32:06
171,343,2023-05-27,38.49,check,REF-756384,2023-05-28T06:18:43
172,427,2025-08-03,26.01,ach,REF-142843,2025-08-03T07:43:09
173,484,2023-08-21,325.42,bank_transfer,REF-524337,2023-08-22T01:57:56
174,427,2024-07-15,25.83,check,REF-823970,2024-07-16T00:09:43
175,230,2025-02-24,6.85,ach,REF-384640,2025-02-24T16:56:48
176,309,2023-06-23,16.22,ach,REF-845522,2023-06-24T03:09:26
177,321,2023-12-22,7.51,check,REF-370197,2023-12-22T14:44:21
178,332,2024-02-14,76.65,wire,REF-658696,2024-02-14T10:45:31
179,99,2023-03-06,40.77,wire,REF-958696,2023-03-06T06:38:47
180,71,2025-04-21,32.20,bank_transfer,REF-156767,2025-04-21T10:46:52
181,402,2025-11-10,18.10,bank_transfer,REF-410848,2025-11-11T00:27:14
182,112,2023-04-17,9.44,credit_card,REF-945215,2023-04-17T21:00:34
183,339,2023-08-16,100.45,ach,REF-351758,2023-08-17T00:27:02
184,389,2025-08-29,115.72,bank_transfer,REF-734194,2025-08-29T20:52:43
185,299,2023-06-11,262.88,credit_card,REF-237657,2023-06-11T03:27:32
186,8,2023-02-03,26.24,credit_card,REF-692388,2023-02-03T23:30:06
187,415,2024-02-08,20.83,ach,REF-455252,2024-02-09T12:22:15
188,163,2023-09-12,103.18,check,REF-134446,2023-09-12T23:26:20
189,1,2023-09-13,83.60,ach,REF-259451,2023-09-14T07:27:41
190,21,2024-03-10,47.32,credit_card,REF-322682,2024-03-10T16:35:46
191,10,2025-02-24,91.51,check,REF-694152,2025-02-24T18:49:37
192,279,2024-03-15,90.94,wire,REF-504144,2024-03-16T05:31:48
193,48,2023-06-30,74.76,ach,REF-238770,2023-07-01T17:17:43
194,62,2025-06-27,11.45,check,REF-732129,2025-06-27T19:04:01
195,253,2024-11-03,633.86,credit_card,REF-921189,2024-11-03T19:04:29
196,239,2024-05-16,25.17,check,REF-796728,2024-05-17T07:00:34
197,331,2024-01-22,73.14,credit_card,REF-769594,2024-01-23T05:25:59
198,489,2024-09-01,42.64,wire,REF-946695,2024-09-02T08:57:37
199,380,2023-02-12,40.42,check,REF-140506,2023-02-12T05:39:17
200,238,2024-10-15,59.30,wire,REF-985423,2024-10-16T16:33:52
201,342,2024-06-03,22.74,credit_card,REF-886951,2024-06-03T22:13:08
202,128,2023-08-14,18.99,ach,REF-296978,2023-08-14T16:05:25
203,459,2023-11-21,168.02,check,REF-492394,2023-11-21T12:47:43
204,394,2023-12-23,48.07,wire,REF-776119,2023-12-23T19:41:19
205,293,2025-11-25,86.00,wire,REF-533310,2025-11-25T17:55:57
206,56,2025-03-01,193.33,credit_card,REF-652159,2025-03-02T19:49:52
207,275,2025-08-21,18.50,credit_card,REF-319018,2025-08-22T17:16:52
208,42,2024-03-28,272.82,check,REF-147730,2024-03-29T09:54:33
209,12,2024-09-29,30.92,credit_card,REF-553813,2024-09-29T21:02:27
210,31,2023-11-04,276.84,bank_transfer,REF-678060,2023-11-04T17:18:03
211,54,2024-07-27,176.61,bank_transfer,REF-877115,2024-07-28T08:18:23
212,67,2025-02-19,79.11,credit_card,REF-593668,2025-02-19T15:34:21
213,60,2024-09-20,318.82,wire,REF-950081,2024-09-20T19:37:13
214,239,2023-07-14,21.55,bank_transfer,REF-930136,2023-07-14T20:13:08
215,59,2024-04-06,17.25,credit_card,REF-128868,2024-04-07T15:36:35
216,366,2023-08-15,163.28,credit_card,REF-850115,2023-08-15T10:18:33
217,204,2024-11-14,10.17,credit_card,REF-324261,2024-11-14T23:10:46
218,71,2024-05-28,79.12,bank_transfer,REF-663306,2024-05-29T18:00:08
219,77,2023-10-22,36.55,bank_transfer,REF-162741,2023-10-22T17:28:51
220,202,2023-05-25,60.52,credit_card,REF-896542,2023-05-26T03:13:59
221,42,2025-04-24,141.69,wire,REF-279927,2025-04-24T05:38:19
222,107,2025-06-17,29.55,bank_transfer,REF-918556,2025-06-17T07:53:16
223,285,2024-05-31,14.65,bank_transfer,REF-351575,2024-06-01T20:02:03
224,106,2025-05-26,53.70,bank_transfer,REF-901112,2025-05-26T18:22:25
225,331,2025-05-26,53.17,ach,REF-578995,2025-05-26T23:07:38
226,313,2023-11-07,93.45,credit_card,REF-675937,2023-11-08T05:51:37
227,423,2024-07-23,78.15,credit_card,REF-152739,2024-07-24T16:47:06
228,2,2024-12-28,120.73,bank_transfer,REF-407719,2024-12-28T08:55:46
229,221,2025-01-03,21.62,check,REF-569932,2025-01-03T21:45:21
230,349,2024-05-21,123.00,wire,REF-688064,2024-05-21T22:18:00
231,158,2024-01-16,118.79,credit_card,REF-705708,2024-01-17T11:34:28
232,179,2025-05-02,39.94,wire,REF-471747,2025-05-02T14:58:23
233,267,2025-11-09,16.11,wire,REF-926161,2025-11-10T06:00:37
234,67,2024-07-01,237.49,credit_card,REF-220890,2024-07-01T13:22:04
235,425,2024-08-02,2.48,bank_transfer,REF-632025,2024-08-03T03:05:02
236,421,2024-10-25,283.56,bank_transfer,REF-307956,2024-10-25T01:13:34
237,18,2024-02-09,258.46,ach,REF-884379,2024-02-10T10:51:32
238,362,2023-07-06,24.03,ach,REF-931113,2023-07-07T03:57:33
239,355,2024-02-17,257.40,check,REF-872928,2024-02-17T22:21:15
240,339,2025-05-03,9.97,wire,REF-339224,2025-05-04T07:07:55
241,53,2023-12-22,97.41,credit_card,REF-226418,2023-12-23T04:39:53
242,465,2024-08-06,96.82,wire,REF-358007,2024-08-06T13:59:36
243,360,2023-05-22,142.72,credit_card,REF-347146,2023-05-23T05:58:53
244,186,2024-12-15,28.20,bank_transfer,REF-713396,2024-12-16T05:18:34
245,206,2025-10-08,48.91,ach,REF-973109,2025-10-08T15:33:26
246,103,2024-04-12,25.41,wire,REF-245412,2024-04-12T20:51:59
247,360,2024-05-28,130.84,check,REF-112004,2024-05-29T08:12:53
248,304,2023-05-23,144.06,credit_card,REF-384218,2023-05-24T02:47:11
249,67,2025-02-25,64.06,bank_transfer,REF-255731,2025-02-26T10:07:58
250,71,2024-06-22,159.39,bank_transfer,REF-487988,2024-06-23T01:19:12
251,80,2024-11-12,73.56,bank_transfer,REF-564360,2024-11-13T02:45:37
252,314,2023-02-05,61.67,wire,REF-815281,2023-02-05T18:25:46
253,214,2023-04-22,46.93,ach,REF-999339,2023-04-23T00:36:42
254,102,2024-03-23,58.61,check,REF-628029,2024-03-23T21:39:59
255,211,2024-07-11,156.58,credit_card,REF-274992,2024-07-11T13:11:32
256,302,2023-10-18,18.86,check,REF-689515,2023-10-19T09:10:06
257,454,2025-06-08,73.63,check,REF-685988,2025-06-08T11:31:03
258,130,2023-05-30,8.02,credit_card,REF-405670,2023-05-30T09:51:55
259,375,2025-05-18,76.25,bank_transfer,REF-781663,2025-05-18T16:32:04
260,224,2025-11-14,52.94,bank_transfer,REF-416107,2025-11-15T11:46:47
261,488,2024-01-27,28.10,check,REF-999018,2024-01-27T08:35:53
262,236,2024-07-12,53.56,check,REF-415004,2024-07-13T00:39:41
263,170,2024-02-12,42.60,bank_transfer,REF-354657,2024-02-12T19:15:48
264,462,2024-01-10,37.37,wire,REF-370329,2024-01-10T22:02:59
265,275,2024-02-03,52.18,credit_card,REF-791065,2024-02-04T08:16:48
266,60,2024-08-13,22.86,bank_transfer,REF-814847,2024-08-14T01:19:03
267,320,2023-05-10,37.01,bank_transfer,REF-166040,2023-05-11T07:57:11
268,191,2025-07-24,39.11,check,REF-633359,2025-07-25T09:19:44
269,348,2025-12-25,297.40,credit_card,REF-835593,2025-12-26T00:15:17
270,265,2025-06-10,64.07,wire,REF-975514,2025-06-11T14:13:28
271,365,2025-02-04,286.06,check,REF-861521,2025-02-04T06:27:51
272,38,2025-10-02,55.22,credit_card,REF-787905,2025-10-02T17:10:00
273,378,2023-08-22,27.41,credit_card,REF-889662,2023-08-23T03:04:37
274,450,2024-03-15,228.64,check,REF-397906,2024-03-16T16:46:56
275,261,2025-03-09,39.81,bank_transfer,REF-874544,2025-03-10T10:16:54
276,49,2025-06-13,97.13,credit_card,REF-510617,2025-06-14T07:29:01
277,230,2024-06-20,100.16,credit_card,REF-310155,2024-06-21T11:13:35
278,289,2023-06-06,112.89,ach,REF-363021,2023-06-07T07:54:01
279,319,2025-07-15,112.26,bank_transfer,REF-247073,2025-07-15T10:11:52
280,38,2023-12-26,19.26,ach,REF-374720,2023-12-27T02:42:17
281,256,2025-01-27,30.23,ach,REF-683451,2025-01-28T05:09:24
282,258,2024-05-17,114.51,wire,REF-727815,2024-05-17T08:52:24
283,80,2024-12-12,67.83,ach,REF-260961,2024-12-13T09:40:44
284,230,2024-09-29,254.74,bank_transfer,REF-945576,2024-09-29T22:27:17
285,6,2024-12-11,231.79,wire,REF-273851,2024-12-11T20:55:05
286,55,2024-07-23,138.28,credit_card,REF-707498,2024-07-23T17:00:47
287,298,2024-11-01,36.30,wire,REF-688387,2024-11-02T07:01:24
288,340,2023-04-27,80.06,bank_transfer,REF-888106,2023-04-28T13:18:09
289,165,2025-05-31,251.17,ach,REF-842085,2025-05-31T14:14:52
290,282,2025-06-26,70.04,check,REF-103478,2025-06-26T08:20:18
291,328,2024-10-14,65.04,credit_card,REF-427649,2024-10-15T04:29:31
