order_id,customer_id,product_id,quantity,unit_price,order_date,sales_region,sales_channel,_ingested_at
1,104,25,7,121.89,2023-04-17,WEST,ONLINE,2025-01-15 08:00:00
2,23,17,13,108.51,2022-07-03,INTERNATIONAL,STORE,2025-01-15 08:00:00
3,108,47,20,119.74,2024-02-05,SOUTH,WHOLESALE,2025-01-15 08:00:00
4,55,10,15,133.81,2023-11-25,EAST,PARTNER,2025-01-15 08:00:00
5,136,44,3,96.46,2024-04-04,EAST,ONLINE,2025-01-15 08:00:00
6,2,28,7,75.69,2024-12-30,EAST,STORE,2025-01-15 08:00:00
7,51,39,15,195.46,2024-01-03,WEST,ONLINE,2025-01-15 08:00:00
8,184,11,15,121.11,2022-12-30,INTERNATIONAL,STORE,2025-01-15 08:00:00
9,10,8,1,38.38,2024-05-08,EAST,PARTNER,2025-01-15 08:00:00
10,162,6,5,65.41,2022-01-12,SOUTH,ONLINE,2025-01-15 08:00:00
11,134,26,7,180.49,2022-04-24,WEST,ONLINE,2025-01-15 08:00:00
12,140,26,5,73.99,2024-09-02,EAST,ONLINE,2025-01-15 08:00:00
13,184,39,5,123.57,2024-04-16,EAST,ONLINE,2025-01-15 08:00:00
14,37,19,6,198.27,2024-04-19,WEST,PARTNER,2025-01-15 08:00:00
15,144,21,16,160.6,2023-06-12,EAST,WHOLESALE,2025-01-15 08:00:00
16,93,12,3,102.74,2022-01-23,INTERNATIONAL,WHOLESALE,2025-01-15 08:00:00
17,87,14,13,82.82,2024-03-28,SOUTH,ONLINE,2025-01-15 08:00:00
18,95,35,3,40.34,2022-03-18,CENTRAL,STORE,2025-01-15 08:00:00
19,103,50,15,49.89,2023-04-08,CENTRAL,ONLINE,2025-01-15 08:00:00
20,177,47,11,47.63,2027-01-29,SOUTH,ONLINE,2025-01-15 08:00:00
21,193,6,15,87.12,2023-06-09,EAST,STORE,2025-01-15 08:00:00
22,176,21,16,108.98,2023-06-10,SOUTH,WHOLESALE,2025-01-15 08:00:00
23,105,43,20,36.09,2024-02-16,INTERNATIONAL,WHOLESALE,2025-01-15 08:00:00
24,159,43,15,42.92,2023-11-21,WEST,ONLINE,2025-01-15 08:00:00
25,171,23,10,193.11,2023-01-31,WEST,WHOLESALE,2025-01-15 08:00:00
26,67,43,14,149.89,2023-04-19,SOUTH,WHOLESALE,2025-01-15 08:00:00
27,89,43,13,5.71,2024-10-24,INTERNATIONAL,ONLINE,2025-01-15 08:00:00
28,134,20,6,104.67,2024-06-28,WEST,ONLINE,2025-01-15 08:00:00
29,190,27,15,114.27,2023-08-12,WEST,STORE,2025-01-15 08:00:00
30,27,20,3,118.2,2022-04-30,SOUTH,ONLINE,2025-01-15 08:00:00
31,143,41,19,117.11,2023-02-02,EAST,PARTNER,2025-01-15 08:00:00
32,102,26,6,56.64,2023-11-05,WEST,WHOLESALE,2025-01-15 08:00:00
33,115,45,13,86.54,2023-01-02,CENTRAL,ONLINE,2025-01-15 08:00:00
34,71,30,19,169.65,2024-02-23,WEST,WHOLESALE,2025-01-15 08:00:00
35,123,37,16,134.68,2022-06-03,INTERNATIONAL,ONLINE,2025-01-15 08:00:00
36,118,34,1,27.4,2024-10-08,EAST,ONLINE,2025-01-15 08:00:00
37,188,1,19,137.72,2023-07-18,EAST,STORE,2025-01-15 08:00:00
38,106,17,6,31.55,2022-04-08,SOUTH,ONLINE,2025-01-15 08:00:00
39,88,33,8,113.28,2023-08-22,WEST,WHOLESALE,2025-01-15 08:00:00
40,15,45,14,49.77,2023-01-22,EAST,STORE,2025-01-15 08:00:00
41,70,18,12,18.78,2023-02-10,INTERNATIONAL,ONLINE,2025-01-15 08:00:00
42,91,42,18,20.89,2022-08-21,WEST,WHOLESALE,2025-01-15 08:00:00
43,39,35,3,11.45,2024-11-16,SOUTH,ONLINE,2025-01-15 08:00:00
44,184,15,20,123.61,2022-11-26,CENTRAL,WHOLESALE,2025-01-15 08:00:00
45,88,41,14,41.66,2023-01-03,EAST,ONLINE,2025-01-15 08:00:00
46,165,34,1,50.06,2022-07-18,WEST,STORE,2025-01-15 08:00:00
47,188,39,3,175.91,2022-11-27,WEST,WHOLESALE,2025-01-15 08:00:00
48,96,17,11,119.91,2024-03-23,EAST,ONLINE,2025-01-15 08:00:00
49,41,9,1,176.79,2023-08-29,CENTRAL,ONLINE,2025-01-15 08:00:00
50,110,5,2,73.98,2023-10-12,CENTRAL,STORE,2025-01-15 08:00:00
51,9,25,9,124.0,2022-11-05,EAST,WHOLESALE,2025-01-15 08:00:00
52,74,48,13,86.72,2023-04-12,WEST,STORE,2025-01-15 08:00:00
53,14,14,8,131.32,2022-12-02,INTERNATIONAL,ONLINE,2025-01-15 08:00:00
54,2,37,1,168.34,2022-09-27,WEST,STORE,2025-01-15 08:00:00
55,16,17,6,118.05,2024-05-31,WEST,ONLINE,2025-01-15 08:00:00
56,165,3,17,82.19,2024-07-02,EAST,ONLINE,2025-01-15 08:00:00
57,60,22,14,30.76,2022-07-06,CENTRAL,STORE,2025-01-15 08:00:00
58,60,47,19,99.5,2022-07-25,SOUTH,STORE,2025-01-15 08:00:00
59,45,9,16,148.94,2023-05-24,WEST,WHOLESALE,2025-01-15 08:00:00
60,66,11,17,136.09,2024-10-30,INTERNATIONAL,ONLINE,2025-01-15 08:00:00
61,62,34,8,138.98,2024-05-12,SOUTH,STORE,2025-01-15 08:00:00
62,19,16,9,68.19,2023-11-16,SOUTH,ONLINE,2025-01-15 08:00:00
63,161,2,2,90.17,2023-10-08,WEST,PARTNER,2025-01-15 08:00:00
64,170,19,6,57.3,2023-06-07,EAST,STORE,2025-01-15 08:00:00
65,76,13,12,27.24,2023-12-07,SOUTH,ONLINE,2025-01-15 08:00:00
66,79,34,9,43.63,2022-04-25,EAST,ONLINE,2025-01-15 08:00:00
67,37,39,3,167.79,2024-02-17,EAST,ONLINE,2025-01-15 08:00:00
68,82,25,8,109.97,2022-06-01,EAST,ONLINE,2025-01-15 08:00:00
69,55,15,11,126.04,2022-05-25,EAST,ONLINE,2025-01-15 08:00:00
70,169,28,3,139.92,2024-01-28,SOUTH,ONLINE,2025-01-15 08:00:00
71,97,50,18,181.34,2023-06-23,CENTRAL,STORE,2025-01-15 08:00:00
72,30,18,17,52.48,2022-03-10,WEST,ONLINE,2025-01-15 08:00:00
73,159,7,9,175.88,2023-05-13,WEST,ONLINE,2025-01-15 08:00:00
74,114,34,1,122.38,2023-06-21,EAST,WHOLESALE,2025-01-15 08:00:00
75,,48,1,60.05,2024-06-23,SOUTH,WHOLESALE,2025-01-15 08:00:00
76,194,21,17,199.29,2024-12-30,EAST,PARTNER,2025-01-15 08:00:00
77,102,50,7,18.28,2023-07-27,SOUTH,STORE,2025-01-15 08:00:00
78,87,39,3,140.82,2022-04-08,INTERNATIONAL,ONLINE,2025-01-15 08:00:00
79,34,27,7,87.56,2022-02-06,EAST,ONLINE,2025-01-15 08:00:00
80,83,14,7,135.21,2022-08-07,EAST,PARTNER,2025-01-15 08:00:00
81,74,12,5,164.7,2023-08-11,WEST,STORE,2025-01-15 08:00:00
82,27,20,6,151.59,2024-03-01,EAST,ONLINE,2025-01-15 08:00:00
83,135,20,9,170.53,2022-11-21,CENTRAL,STORE,2025-01-15 08:00:00
84,9,48,20,166.54,2023-05-29,SOUTH,ONLINE,2025-01-15 08:00:00
85,75,39,16,47.41,2024-10-24,CENTRAL,WHOLESALE,2025-01-15 08:00:00
86,,33,9,128.73,2024-07-29,CENTRAL,ONLINE,2025-01-15 08:00:00
87,85,33,5,161.39,2023-04-16,INTERNATIONAL,ONLINE,2025-01-15 08:00:00
88,133,5,8,113.38,2022-10-24,INTERNATIONAL,ONLINE,2025-01-15 08:00:00
89,186,47,13,118.24,2022-06-18,EAST,ONLINE,2025-01-15 08:00:00
90,109,30,4,21.31,2023-02-04,EAST,WHOLESALE,2025-01-15 08:00:00
91,77,13,4,33.59,2023-06-13,CENTRAL,ONLINE,2025-01-15 08:00:00
92,143,44,7,22.35,2022-08-17,CENTRAL,ONLINE,2025-01-15 08:00:00
93,56,20,13,70.28,2022-03-29,SOUTH,STORE,2025-01-15 08:00:00
