order_id,customer_id,order_date,total_amount,status,_ingested_at
1,133,2025-02-18,90.77,RETURNED,2025-02-20T17:26:34
2,117,2023-04-18,21.62,PENDING,2023-04-19T07:45:49
3,95,2025-05-25,63.51,DELIVERED,2025-05-26T16:14:19
4,89,2023-10-31,26.01,DELIVERED,2023-11-02T12:52:33
5,27,2023-01-15,461.21,CONFIRMED,2023-01-16T19:43:14
6,12,2024-10-14,11.91,RETURNED,2024-10-15T11:52:08
7,192,2025-03-18,64.00,PENDING,2025-03-19T13:01:41
8,34,2023-07-27,42.40,CONFIRMED,2023-07-29T02:45:25
9,82,2024-05-04,157.81,DELIVERED,2024-05-05T10:23:00
10,40,2023-11-11,132.64,CONFIRMED,2023-11-12T06:40:28
11,198,2024-05-02,9.81,CONFIRMED,2024-05-03T23:00:34
12,155,2024-02-16,8.46,PENDING,2024-02-17T00:12:41
13,92,2024-05-24,-10.81,SHIPPED,2024-05-24T15:02:00
14,116,2024-02-09,6.55,DELIVERED,2024-02-09T15:43:15
15,51,2023-05-28,69.67,CANCELLED,2023-05-29T09:36:51
16,20,2025-09-06,4.18,PENDING,2025-09-07T21:11:44
17,85,2025-09-30,66.77,CONFIRMED,2025-10-01T17:08:13
18,186,,154.52,SHIPPED,2023-03-21T02:54:37
19,72,2023-09-26,16.08,DELIVERED,2023-09-27T09:43:11
20,128,2025-08-11,65.54,DELIVERED,2025-08-13T15:33:09
21,52,2023-04-05,19.58,DELIVERED,2023-04-05T23:27:52
22,183,2024-01-23,6.67,SHIPPED,2024-01-24T17:54:05
23,,2025-01-22,182.60,SHIPPED,2025-01-23T21:09:39
24,60,2023-12-07,42.94,RETURNED,2023-12-07T07:39:52
25,189,2025-10-17,2.42,PENDING,2025-10-18T01:40:50
26,45,2023-12-07,5.16,CONFIRMED,2023-12-09T09:15:24
27,49,2025-12-19,44.69,CANCELLED,2025-12-20T16:24:12
28,24,2025-02-03,15.31,PENDING,2025-02-05T02:32:32
29,158,2023-01-31,30.94,CONFIRMED,2023-02-02T08:58:09
30,29,2023-10-03,54.11,CANCELLED,2023-10-04T13:11:00
31,151,2023-04-23,115.16,CONFIRMED,2023-04-24T16:10:27
32,164,2023-07-31,77.43,RETURNED,2023-08-01T10:17:12
33,45,2023-09-28,8.28,SHIPPED,2023-09-30T12:44:46
34,,2024-04-02,87.67,RETURNED,2024-04-02T21:23:58
35,128,2024-05-09,8.82,CONFIRMED,2024-05-10T23:59:10
36,86,2024-01-05,109.07,DELIVERED,2024-01-06T16:07:52
37,28,,10.00,DELIVERED,2024-01-25T12:33:27
38,97,2024-10-13,157.86,SHIPPED,2024-10-14T08:48:22
39,42,2025-01-14,89.43,DELIVERED,2025-01-16T09:39:17
40,97,2023-02-21,9.62,CONFIRMED,2023-02-22T16:43:08
41,124,2023-05-25,54.65,DELIVERED,2023-05-26T13:11:39
42,14,2025-10-12,48.93,CONFIRMED,2025-10-12T20:17:08
43,187,2023-10-23,142.66,DELIVERED,2023-10-24T06:07:35
44,141,2024-04-06,8.41,CANCELLED,2024-04-07T15:53:59
45,170,2024-07-14,26.81,DELIVERED,2024-07-14T13:40:38
46,21,2023-05-31,6.25,DELIVERED,2023-05-31T17:56:01
47,24,2024-09-09,30.99,DELIVERED,2024-09-10T17:39:24
48,68,2024-07-30,20.39,DELIVERED,2024-07-31T09:38:51
49,89,2024-02-22,48.28,CANCELLED,2024-02-23T17:43:00
50,134,2025-07-05,66.23,DELIVERED,2025-07-05T17:35:43
51,21,2025-01-07,148.44,SHIPPED,2025-01-09T03:44:10
52,147,2023-02-23,44.86,DELIVERED,2023-02-25T07:46:19
53,175,2023-07-06,8.72,DELIVERED,2023-07-08T01:25:59
54,187,2025-09-01,83.66,CANCELLED,2025-09-01T18:41:17
55,71,2024-08-25,24.20,DELIVERED,2024-08-27T09:23:06
56,108,2023-01-20,56.29,CONFIRMED,2023-01-22T01:57:20
57,138,2025-05-30,485.88,CANCELLED,2025-05-31T18:09:09
58,122,2024-02-15,69.72,PENDING,2024-02-16T08:43:38
59,10,2023-08-12,68.73,SHIPPED,2023-08-14T03:12:58
60,69,2025-12-08,-5.65,CANCELLED,2025-12-09T08:13:07
61,191,2024-04-28,14.87,DELIVERED,2024-04-28T19:01:48
62,49,2024-02-23,20.42,DELIVERED,2024-02-25T11:42:17
63,96,2024-09-24,31.00,CANCELLED,2024-09-26T12:24:40
64,35,2023-09-04,15.05,DELIVERED,2023-09-05T03:55:20
65,95,2025-06-02,23.13,CANCELLED,2025-06-02T11:38:24
66,126,2025-09-14,54.16,DELIVERED,2025-09-14T09:47:40
