session_id,player_id,machine_id,session_date,session_start,duration_minutes,game_type,coin_in,coin_out,theoretical_win,actual_win,denomination,floor_zone
SES-00000001,PLY-000125,MCH-0258,2025-03-08,2025-03-08T15:53:00Z,62,VIDEO_POKER,57115.2,56602.56,53298.26,512.64,25.0,MAIN_FLOOR_B
SES-00000002,PLY-000207,MCH-0004,2023-01-18,2023-01-18T16:02:00Z,116,SLOTS,7018.02,6660.63,6701.31,357.39,1.0,SPORTS_BAR
SES-00000003,PLY-000016,MCH-0225,2023-08-01,2023-08-01T09:06:00Z,43,POKER,3.1,3.14,2.64,-0.04,0.01,MAIN_FLOOR_B
SES-00000004,PLY-000058,MCH-0249,2025-03-19,2025-03-19T19:28:00Z,45,TABLE_BLACKJACK,325.37,331.81,279.45,-6.44,1.0,VIP_LOUNGE
SES-00000005,PLY-000435,MCH-0277,2023-09-26,2023-09-26T17:59:00Z,27,VIDEO_POKER,16.58,16.23,14.32,0.35,0.01,MAIN_FLOOR_B
SES-00000006,PLY-000116,MCH-0241,2025-08-07,2025-08-07T09:20:00Z,69,VIDEO_POKER,164.93,160.08,151.31,4.85,0.05,MAIN_FLOOR_A
SES-00000007,PLY-000282,MCH-0217,2023-02-10,2023-02-10T22:56:00Z,10,VIDEO_POKER,3.18,3.23,3.0,-0.05,0.01,VIP_LOUNGE
SES-00000008,PLY-000304,MCH-0225,2025-08-16,2025-08-16T20:01:00Z,30,TABLE_BLACKJACK,15249.01,15169.55,14315.04,79.46,100.0,MAIN_FLOOR_C
SES-00000009,PLY-000293,MCH-0169,2025-08-14,2025-08-14T18:30:00Z,122,SLOTS,163.03,146.86,147.88,16.17,0.05,SPORTS_BAR
SES-00000010,PLY-000026,MCH-0271,2024-01-11,2024-01-11T08:18:00Z,39,VIDEO_POKER,98237.92,99581.52,95257.59,-1343.6,100.0,MAIN_FLOOR_C
SES-00000011,PLY-000475,MCH-0258,2025-01-08,2025-01-08T21:11:00Z,102,SLOTS,23170.84,20176.72,20118.37,2994.12,5.0,POKER_ROOM
SES-00000012,PLY-000245,MCH-0069,2023-09-18,2023-09-18T21:26:00Z,147,VIDEO_POKER,18.3,17.76,17.75,0.54,0.01,MAIN_FLOOR_A
SES-00000013,PLY-000438,MCH-0075,2025-02-20,2025-02-20T14:48:00Z,75,POKER,233.47,229.67,212.27,3.8,1.0,MAIN_FLOOR_A
SES-00000014,PLY-000412,MCH-0197,2023-09-08,2023-09-08T11:10:00Z,41,VIDEO_POKER,2.23,2.25,2.1,-0.02,0.01,HIGH_LIMIT
SES-00000015,PLY-000083,MCH-0270,2025-05-04,2025-05-04T12:00:00Z,37,SLOTS,17.39,16.04,16.18,1.35,0.01,HIGH_LIMIT
SES-00000016,PLY-000325,MCH-0259,2024-06-22,2024-06-22T09:28:00Z,35,SLOTS,24844.64,22186.25,23733.7,2658.39,25.0,MAIN_FLOOR_B
SES-00000017,PLY-000247,MCH-0053,2025-07-16,2025-07-16T09:57:00Z,19,VIDEO_POKER,8051.49,7930.67,7191.2,120.82,25.0,SPORTS_BAR
SES-00000018,PLY-000045,MCH-0221,2024-10-17,2024-10-17T11:01:00Z,81,SLOTS,233757.47,216239.94,209396.66,17517.53,100.0,HIGH_LIMIT
SES-00000019,PLY-000118,MCH-0052,2024-03-28,2024-03-28T09:52:00Z,205,TABLE_ROULETTE,89884.4,91675.07,85594.43,-1790.67,100.0,HIGH_LIMIT
SES-00000020,PLY-000204,MCH-0181,2025-12-10,2025-12-10T08:18:00Z,17,SLOTS,3.22,2.94,3.15,0.28,0.01,MAIN_FLOOR_A
SES-00000021,PLY-000312,MCH-0075,2025-02-27,2025-02-27T15:53:00Z,329,TABLE_BLACKJACK,282.01,277.2,256.19,4.81,0.25,SPORTS_BAR
SES-00000022,PLY-000022,MCH-0026,2024-05-24,2024-05-24T16:19:00Z,10,SLOTS,32526.8,30406.84,29109.34,2119.96,100.0,MAIN_FLOOR_B
SES-00000023,PLY-000284,MCH-0243,2023-04-19,2023-04-19T21:08:00Z,77,SLOTS,394.16,355.97,341.44,38.19,0.25,VIP_LOUNGE
SES-00000024,PLY-000496,MCH-0236,2023-01-03,2023-01-03T11:39:00Z,68,POKER,163.57,156.29,151.33,7.28,1.0,SPORTS_BAR
SES-00000025,PLY-000423,MCH-0232,2024-12-28,2024-12-28T18:21:00Z,118,VIDEO_POKER,20829.55,21149.76,17946.41,-320.21,5.0,HIGH_LIMIT
SES-00000026,PLY-000392,MCH-0168,2024-06-14,2024-06-14T11:23:00Z,60,TABLE_BLACKJACK,1867.43,1842.44,1622.98,24.99,25.0,MAIN_FLOOR_B
SES-00000027,PLY-000101,MCH-0263,2024-07-08,2024-07-08T18:14:00Z,52,SLOTS,26.79,25.41,23.01,1.38,0.01,POKER_ROOM
SES-00000028,PLY-000493,MCH-0118,2024-09-15,2024-09-15T13:53:00Z,71,TABLE_BLACKJACK,40.59,41.31,38.55,-0.72,0.25,MAIN_FLOOR_B
SES-00000029,PLY-000004,MCH-0236,2023-05-28,2023-05-28T19:40:00Z,10,SLOTS,2235.73,2177.45,2135.36,58.28,5.0,HIGH_LIMIT
SES-00000030,PLY-000306,MCH-0220,2025-01-08,2025-01-08T09:49:00Z,25,POKER,21.26,21.6,20.76,-0.34,0.25,POKER_ROOM
SES-00000031,PLY-000295,MCH-0089,2023-12-19,2023-12-19T23:31:00Z,48,TABLE_ROULETTE,2105.65,2032.24,1808.5,73.41,25.0,SPORTS_BAR
SES-00000032,PLY-000406,MCH-0277,2025-10-13,2025-10-13T15:41:00Z,68,SLOTS,172632.66,149535.74,167898.88,23096.92,100.0,VIP_LOUNGE
SES-00000033,PLY-000218,MCH-0043,2024-01-27,2024-01-27T10:39:00Z,28,SLOTS,1027.88,987.77,910.63,40.11,1.0,MAIN_FLOOR_C
SES-00000034,PLY-000206,MCH-0084,2024-08-03,2024-08-03T19:05:00Z,39,TABLE_BLACKJACK,22809.78,23059.19,22012.5,-249.41,100.0,HIGH_LIMIT
SES-00000035,PLY-000042,MCH-0250,2024-08-11,2024-08-11T18:54:00Z,15,POKER,440.28,436.89,382.06,3.39,25.0,MAIN_FLOOR_C
SES-00000036,PLY-000435,MCH-0150,2023-07-27,2023-07-27T23:02:00Z,44,VIDEO_POKER,718.64,692.93,621.07,25.71,1.0,SPORTS_BAR
SES-00000037,PLY-000312,MCH-0157,2024-12-07,2024-12-07T17:53:00Z,106,TABLE_BACCARAT,365.52,351.27,343.15,14.25,1.0,VIP_LOUNGE
SES-00000038,PLY-000499,MCH-0204,2024-02-12,2024-02-12T16:28:00Z,344,SLOTS,14527.37,13516.29,14207.56,1011.08,1.0,MAIN_FLOOR_B
SES-00000039,PLY-000037,MCH-0200,2023-03-27,2023-03-27T14:50:00Z,21,POKER,429.76,429.76,396.0,0.0,5.0,MAIN_FLOOR_A
SES-00000040,PLY-000151,MCH-0215,2025-01-12,2025-01-12T16:06:00Z,38,VIDEO_POKER,8202.0,7822.06,8033.79,379.94,5.0,POKER_ROOM
SES-00000041,PLY-000435,MCH-0254,2024-04-07,2024-04-07T08:31:00Z,113,SLOTS,1891.52,1830.66,1805.26,60.86,1.0,SPORTS_BAR
SES-00000042,PLY-000466,MCH-0210,2023-02-04,2023-02-04T15:10:00Z,25,VIDEO_POKER,7.91,7.74,7.23,0.17,0.01,MAIN_FLOOR_A
SES-00000043,PLY-000119,MCH-0210,2023-11-18,2023-11-18T16:45:00Z,126,SLOTS,188575.4,170344.77,171104.74,18230.63,100.0,MAIN_FLOOR_B
SES-00000044,PLY-000427,MCH-0011,2025-09-01,2025-09-01T13:21:00Z,34,SLOTS,1188.21,1104.16,1067.96,84.05,1.0,SPORTS_BAR
SES-00000045,PLY-000387,MCH-0108,2024-09-18,2024-09-18T15:10:00Z,68,TABLE_BLACKJACK,20.88,19.95,20.35,0.93,0.05,MAIN_FLOOR_A
SES-00000046,PLY-000350,MCH-0225,2024-01-26,2024-01-26T13:35:00Z,17,TABLE_BLACKJACK,20.81,20.26,19.93,0.55,0.25,VIP_LOUNGE
SES-00000047,PLY-000288,MCH-0009,2024-06-27,2024-06-27T08:49:00Z,10,TABLE_ROULETTE,74.27,71.69,64.06,2.58,1.0,MAIN_FLOOR_A
SES-00000048,PLY-000027,MCH-0097,2024-10-09,2024-10-09T12:12:00Z,44,TABLE_BLACKJACK,31.41,30.41,28.32,1.0,1.0,MAIN_FLOOR_A
SES-00000049,PLY-000370,MCH-0251,2025-06-26,2025-06-26T23:44:00Z,263,TABLE_BLACKJACK,8906.54,8775.38,8107.71,131.16,5.0,MAIN_FLOOR_C
SES-00000050,PLY-000401,MCH-0222,2024-08-06,2024-08-06T23:23:00Z,15,VIDEO_POKER,16.43,15.67,14.46,0.76,0.05,MAIN_FLOOR_A
SES-00000051,PLY-000241,MCH-0089,2024-02-17,2024-02-17T19:45:00Z,20,TABLE_BACCARAT,2702.32,2656.13,2400.14,46.19,25.0,MAIN_FLOOR_B
SES-00000052,PLY-000291,MCH-0105,2025-06-04,2025-06-04T12:05:00Z,118,TABLE_BLACKJACK,323.68,327.43,307.03,-3.75,1.0,HIGH_LIMIT
SES-00000053,PLY-000268,MCH-0286,2024-08-10,2024-08-10T11:58:00Z,34,SLOTS,124.59,106.2,121.39,18.39,0.25,MAIN_FLOOR_C
SES-00000054,PLY-000131,MCH-0066,2023-01-28,2023-01-28T11:17:00Z,24,SLOTS,3627.38,3521.13,3189.2,106.25,5.0,MAIN_FLOOR_C
SES-00000055,PLY-000042,MCH-0017,2023-07-09,2023-07-09T17:12:00Z,16,TABLE_ROULETTE,0.67,0.65,0.64,0.02,0.01,HIGH_LIMIT
SES-00000056,PLY-000050,MCH-0245,2023-05-18,2023-05-18T19:26:00Z,119,TABLE_BLACKJACK,1294.58,1309.1,1243.94,-14.52,5.0,MAIN_FLOOR_B
SES-00000057,PLY-000078,MCH-0135,2024-06-26,2024-06-26T13:27:00Z,24,TABLE_BLACKJACK,0.5,0.49,0.44,0.01,0.01,MAIN_FLOOR_B
SES-00000058,PLY-000213,MCH-0171,2023-03-06,2023-03-06T10:14:00Z,24,VIDEO_POKER,27963.46,27272.41,25382.15,691.05,25.0,HIGH_LIMIT
SES-00000059,PLY-000473,MCH-0210,2023-05-19,2023-05-19T11:09:00Z,102,TABLE_BLACKJACK,16217.39,16539.52,15725.41,-322.13,100.0,MAIN_FLOOR_C
SES-00000060,PLY-000084,MCH-0114,2023-02-16,2023-02-16T13:00:00Z,428,TABLE_ROULETTE,1006.12,973.78,900.33,32.34,1.0,HIGH_LIMIT
SES-00000061,PLY-000478,MCH-0279,2023-06-15,2023-06-15T14:15:00Z,54,SLOTS,10192.57,9461.55,9858.93,731.02,5.0,POKER_ROOM
SES-00000062,PLY-000460,MCH-0270,2023-04-13,2023-04-13T13:58:00Z,37,POKER,2211.08,2219.98,2080.57,-8.9,25.0,SPORTS_BAR
SES-00000063,PLY-000177,MCH-0061,2024-09-18,2024-09-18T22:57:00Z,74,SLOTS,7413.91,7141.42,6426.19,272.49,5.0,SPORTS_BAR
SES-00000064,PLY-000382,MCH-0191,2024-06-17,2024-06-17T17:24:00Z,18,SLOTS,107.42,92.35,96.97,15.07,0.25,MAIN_FLOOR_A
SES-00000065,PLY-000006,MCH-0230,2023-09-19,2023-09-19T16:31:00Z,22,VIDEO_POKER,8654.39,8756.38,7392.53,-101.99,25.0,MAIN_FLOOR_C
SES-00000066,PLY-000125,MCH-0019,2024-05-16,2024-05-16T14:50:00Z,60,VIDEO_POKER,64.35,61.52,61.05,2.83,0.05,HIGH_LIMIT
SES-00000067,PLY-000303,MCH-0011,2023-03-24,2023-03-24T08:38:00Z,102,SLOTS,350811.4,340909.4,310709.22,9902.0,100.0,MAIN_FLOOR_B
SES-00000068,PLY-000465,MCH-0272,2025-08-21,2025-08-21T23:44:00Z,109,SLOTS,205.53,182.58,189.93,22.95,0.05,HIGH_LIMIT
SES-00000069,PLY-000036,MCH-0054,2025-07-18,2025-07-18T23:52:00Z,38,POKER,9.38,8.95,8.48,0.43,0.05,MAIN_FLOOR_C
SES-00000070,PLY-000107,MCH-0197,2025-09-25,2025-09-25T16:36:00Z,23,SLOTS,136.7,121.92,117.74,14.78,0.25,SPORTS_BAR
SES-00000071,PLY-000221,MCH-0138,2023-04-16,2023-04-16T13:33:00Z,96,TABLE_ROULETTE,1961.54,1955.64,1782.77,5.9,25.0,VIP_LOUNGE
SES-00000072,PLY-000374,MCH-0008,2023-08-28,2023-08-28T19:56:00Z,30,TABLE_BLACKJACK,0.56,0.56,0.53,0.0,0.01,VIP_LOUNGE
SES-00000073,PLY-000066,MCH-0007,2023-08-21,2023-08-21T12:02:00Z,19,SLOTS,4107.2,3780.35,3671.94,326.85,25.0,VIP_LOUNGE
SES-00000074,PLY-000059,MCH-0239,2023-07-09,2023-07-09T12:55:00Z,26,TABLE_BLACKJACK,2544.56,2473.23,2344.66,71.33,25.0,HIGH_LIMIT
SES-00000075,PLY-000328,MCH-0201,2023-10-18,2023-10-18T12:41:00Z,112,SLOTS,20291.91,18734.74,19550.1,1557.17,5.0,SPORTS_BAR
SES-00000076,PLY-000417,MCH-0140,2025-02-06,2025-02-06T16:59:00Z,146,VIDEO_POKER,34.07,34.75,30.51,-0.68,0.01,SPORTS_BAR
SES-00000077,PLY-000199,MCH-0016,2024-12-07,2024-12-07T18:11:00Z,107,POKER,312.04,306.59,289.26,5.45,1.0,SPORTS_BAR
SES-00000078,PLY-000147,MCH-0102,2024-12-14,2024-12-14T19:44:00Z,103,TABLE_BLACKJACK,6.6,6.58,6.32,0.02,0.05,VIP_LOUNGE
SES-00000079,PLY-000374,MCH-0245,2024-05-17,2024-05-17T22:52:00Z,33,VIDEO_POKER,27.08,26.99,25.99,0.09,0.05,SPORTS_BAR
SES-00000080,PLY-000405,MCH-0298,2025-07-18,2025-07-18T19:52:00Z,302,SLOTS,6738.96,5830.06,6594.74,908.9,1.0,POKER_ROOM
SES-00000081,PLY-000326,MCH-0154,2023-12-13,2023-12-13T16:55:00Z,28,TABLE_BLACKJACK,10.76,10.35,10.01,0.41,0.05,MAIN_FLOOR_A
SES-00000082,PLY-000464,MCH-0098,2025-02-20,2025-02-20T12:20:00Z,58,SLOTS,8478.28,8137.67,7376.07,340.61,5.0,SPORTS_BAR
SES-00000083,PLY-000160,MCH-0020,2023-10-04,2023-10-04T10:09:00Z,185,SLOTS,639.72,606.62,625.64,33.1,0.25,MAIN_FLOOR_A
SES-00000084,PLY-000373,MCH-0121,2025-12-12,2025-12-12T20:22:00Z,83,SLOTS,983.52,912.04,888.82,71.48,0.25,MAIN_FLOOR_A
SES-00000085,PLY-000497,MCH-0015,2024-03-05,2024-03-05T17:45:00Z,24,SLOTS,23615.12,20352.91,20431.94,3262.21,25.0,SPORTS_BAR
SES-00000086,PLY-000183,MCH-0098,2024-12-14,2024-12-14T23:21:00Z,357,VIDEO_POKER,782.95,764.51,690.3,18.44,0.05,HIGH_LIMIT
SES-00000087,PLY-000388,MCH-0017,2025-04-19,2025-04-19T13:22:00Z,138,VIDEO_POKER,863.06,841.73,750.35,21.33,0.25,HIGH_LIMIT
SES-00000088,PLY-000362,MCH-0002,2024-01-22,2024-01-22T15:23:00Z,45,TABLE_CRAPS,12582.35,12809.67,11836.34,-227.32,100.0,VIP_LOUNGE
SES-00000089,PLY-000023,MCH-0046,2024-10-26,2024-10-26T18:16:00Z,100,SLOTS,543008.18,467216.61,463872.07,75791.57,100.0,MAIN_FLOOR_C
SES-00000090,PLY-000142,MCH-0052,2023-01-16,2023-01-16T14:52:00Z,11,VIDEO_POKER,5.28,5.08,4.66,0.2,0.05,VIP_LOUNGE
SES-00000091,PLY-000484,MCH-0185,2025-12-13,2025-12-13T19:34:00Z,49,SLOTS,2701.85,2403.26,2357.15,298.59,1.0,VIP_LOUNGE
SES-00000092,PLY-000404,MCH-0055,2023-09-23,2023-09-23T17:18:00Z,37,TABLE_BLACKJACK,10.96,10.96,10.46,0.0,0.05,MAIN_FLOOR_A
SES-00000093,PLY-000357,MCH-0115,2025-04-20,2025-04-20T23:20:00Z,113,TABLE_ROULETTE,3.41,3.26,3.08,0.15,0.01,MAIN_FLOOR_A
