geo_id,state_name,county_name,year,dataset,variable_code,variable_name,variable_concept,estimate,margin_of_error,load_time
01001,Alabama,Autauga,2019,acs5,B01001_001E,Total Population,SEX BY AGE,340243,11729.21,2019-06-15T00:00:00Z
01001,Alabama,Autauga,2019,acs5,B19013_001E,Median Household Income,MEDIAN HOUSEHOLD INCOME,117196,6534.12,2019-06-15T00:00:00Z
01001,Alabama,Autauga,2019,acs5,B15003_022E,Bachelors Degree,EDUCATIONAL ATTAINMENT,15628,596.05,2019-06-15T00:00:00Z
01001,Alabama,Autauga,2019,acs5,B23025_005E,Unemployed,EMPLOYMENT STATUS,7717,833.21,2019-06-15T00:00:00Z
01001,Alabama,Autauga,2019,acs5,B17001_002E,Below Poverty Level,POVERTY STATUS,36741,1150.07,2019-06-15T00:00:00Z
01001,Alabama,Autauga,2019,acs5,B25001_001E,Housing Units,HOUSING UNITS,226208,5458.79,2019-06-15T00:00:00Z
01001,Alabama,Autauga,2019,acs1,B01001_001E,Total Population,SEX BY AGE,54123,2620.79,2019-06-15T00:00:00Z
01001,Alabama,Autauga,2019,acs1,B19013_001E,Median Household Income,MEDIAN HOUSEHOLD INCOME,86237,8473.86,2019-06-15T00:00:00Z
01001,Alabama,Autauga,2019,acs1,B15003_022E,Bachelors Degree,EDUCATIONAL ATTAINMENT,37781,1732.22,2019-06-15T00:00:00Z
01001,Alabama,Autauga,2019,acs1,B23025_005E,Unemployed,EMPLOYMENT STATUS,43590,4846.0,2019-06-15T00:00:00Z
01001,Alabama,Autauga,2019,acs1,B17001_002E,Below Poverty Level,POVERTY STATUS,28493,1386.39,2019-06-15T00:00:00Z
01001,Alabama,Autauga,2019,acs1,B25001_001E,Housing Units,HOUSING UNITS,313944,17632.6,2019-06-15T00:00:00Z
01001,Alabama,Autauga,2020,acs5,B01001_001E,Total Population,SEX BY AGE,460763,9604.53,2020-06-15T00:00:00Z
01001,Alabama,Autauga,2020,acs5,B19013_001E,Median Household Income,MEDIAN HOUSEHOLD INCOME,40926,4532.89,2020-06-15T00:00:00Z
01001,Alabama,Autauga,2020,acs5,B15003_022E,Bachelors Degree,EDUCATIONAL ATTAINMENT,23298,1307.56,2020-06-15T00:00:00Z
01001,Alabama,Autauga,2020,acs5,B23025_005E,Unemployed,EMPLOYMENT STATUS,15110,2182.45,2020-06-15T00:00:00Z
01001,Alabama,Autauga,2020,acs5,B17001_002E,Below Poverty Level,POVERTY STATUS,23059,767.57,2020-06-15T00:00:00Z
01001,Alabama,Autauga,2020,acs5,B25001_001E,Housing Units,HOUSING UNITS,204191,6651.14,2020-06-15T00:00:00Z
01001,Alabama,Autauga,2020,acs1,B01001_001E,Total Population,SEX BY AGE,449331,29078.12,2020-06-15T00:00:00Z
01001,Alabama,Autauga,2020,acs1,B19013_001E,Median Household Income,MEDIAN HOUSEHOLD INCOME,54671,6829.87,2020-06-15T00:00:00Z
01001,Alabama,Autauga,2020,acs1,B15003_022E,Bachelors Degree,EDUCATIONAL ATTAINMENT,48823,3892.43,2020-06-15T00:00:00Z
01001,Alabama,Autauga,2020,acs1,B23025_005E,Unemployed,EMPLOYMENT STATUS,9180,1344.92,2020-06-15T00:00:00Z
01001,Alabama,Autauga,2020,acs1,B17001_002E,Below Poverty Level,POVERTY STATUS,25807,780.51,2020-06-15T00:00:00Z
01001,Alabama,Autauga,2020,acs1,B25001_001E,Housing Units,HOUSING UNITS,158709,20286.6,2020-06-15T00:00:00Z
01001,Alabama,Autauga,2021,acs5,B01001_001E,Total Population,SEX BY AGE,329282,44488.87,2021-06-15T00:00:00Z
01001,Alabama,Autauga,2021,acs5,B19013_001E,Median Household Income,MEDIAN HOUSEHOLD INCOME,67400,6406.76,2021-06-15T00:00:00Z
01001,Alabama,Autauga,2021,acs5,B15003_022E,Bachelors Degree,EDUCATIONAL ATTAINMENT,47174,1370.04,2021-06-15T00:00:00Z
01001,Alabama,Autauga,2021,acs5,B23025_005E,Unemployed,EMPLOYMENT STATUS,44336,2200.25,2021-06-15T00:00:00Z
01001,Alabama,Autauga,2021,acs5,B17001_002E,Below Poverty Level,POVERTY STATUS,19965,2956.39,2021-06-15T00:00:00Z
01001,Alabama,Autauga,2021,acs5,B25001_001E,Housing Units,HOUSING UNITS,453432,22790.77,2021-06-15T00:00:00Z
01001,Alabama,Autauga,2021,acs1,B01001_001E,Total Population,SEX BY AGE,57953,4022.89,2021-06-15T00:00:00Z
01001,Alabama,Autauga,2021,acs1,B19013_001E,Median Household Income,MEDIAN HOUSEHOLD INCOME,79429,8152.51,2021-06-15T00:00:00Z
01001,Alabama,Autauga,2021,acs1,B15003_022E,Bachelors Degree,EDUCATIONAL ATTAINMENT,24909,1024.88,2021-06-15T00:00:00Z
01001,Alabama,Autauga,2021,acs1,B23025_005E,Unemployed,EMPLOYMENT STATUS,24283,1147.03,2021-06-15T00:00:00Z
01001,Alabama,Autauga,2021,acs1,B17001_002E,Below Poverty Level,POVERTY STATUS,18496,2057.43,2021-06-15T00:00:00Z
01001,Alabama,Autauga,2021,acs1,B25001_001E,Housing Units,HOUSING UNITS,363375,37879.88,2021-06-15T00:00:00Z
01001,Alabama,Autauga,2022,acs5,B01001_001E,Total Population,SEX BY AGE,324360,33262.2,2022-06-15T00:00:00Z
01001,Alabama,Autauga,2022,acs5,B19013_001E,Median Household Income,MEDIAN HOUSEHOLD INCOME,90010,10331.93,2022-06-15T00:00:00Z
01001,Alabama,Autauga,2022,acs5,B15003_022E,Bachelors Degree,EDUCATIONAL ATTAINMENT,11708,937.74,2022-06-15T00:00:00Z
01001,Alabama,Autauga,2022,acs5,B23025_005E,Unemployed,EMPLOYMENT STATUS,18691,2778.19,2022-06-15T00:00:00Z
01001,Alabama,Autauga,2022,acs5,B17001_002E,Below Poverty Level,POVERTY STATUS,42943,4700.59,2022-06-15T00:00:00Z
01001,Alabama,Autauga,2022,acs5,B25001_001E,Housing Units,HOUSING UNITS,120141,13095.35,2022-06-15T00:00:00Z
01001,Alabama,Autauga,2022,acs1,B01001_001E,Total Population,SEX BY AGE,446897,53574.35,2022-06-15T00:00:00Z
