trade_id,flow_type,partner_country_code,partner_country_name,partner_region,partner_income_group,hs_code,commodity_description,commodity_section,year,month,trade_value_usd,quantity,quantity_unit,district_code,district_name,transport_method,customs_value_usd,duty_collected_usd,shipping_weight_kg,load_time
TRD-000001,EXPORT,GBR,United Kingdom,Europe & Central Asia,High income,3004,Medicaments,VI,2020,1,11311853.59,284387.7298,KG,01,"New York, NY",AIR,10929141.56,0,688975.0061,2020-01-28T00:00:00Z
TRD-000002,IMPORT,GBR,United Kingdom,Europe & Central Asia,High income,3004,Medicaments,VI,2020,1,15218828.58,317043.4264,KG,04,"Chicago, IL",TRUCK,13753904.54,515645.72,283088.2506,2020-01-28T00:00:00Z
TRD-000003,EXPORT,GBR,United Kingdom,Europe & Central Asia,High income,8703,Motor cars,XVII,2020,1,8036515.61,255555.9322,KG,01,"New York, NY",TRUCK,7986998.51,0,108163.007,2020-01-28T00:00:00Z
TRD-000004,IMPORT,GBR,United Kingdom,Europe & Central Asia,High income,8703,Motor cars,XVII,2020,1,31303316.74,484786.7832,KG,01,"New York, NY",TRUCK,28419712.39,1494047.74,916931.0156,2020-01-28T00:00:00Z
TRD-000005,EXPORT,GBR,United Kingdom,Europe & Central Asia,High income,8471,Automatic data processing machines,XVI,2020,1,9510798.94,129247.5996,KG,18,"Los Angeles, CA",VESSEL,8146158.34,0,960591.2925,2020-01-28T00:00:00Z
TRD-000006,IMPORT,GBR,United Kingdom,Europe & Central Asia,High income,8471,Automatic data processing machines,XVI,2020,1,34025070.09,354959.8917,KG,13,"Houston-Galveston, TX",TRUCK,33159889.23,2145478.71,590178.6253,2020-01-28T00:00:00Z
TRD-000007,EXPORT,BRA,Brazil,Latin America & Caribbean,Upper middle income,8703,Motor cars,XVII,2020,1,22833067.79,397050.4288,KG,13,"Houston-Galveston, TX",VESSEL,20360142.28,0,9785.2621,2020-01-28T00:00:00Z
TRD-000008,IMPORT,BRA,Brazil,Latin America & Caribbean,Upper middle income,8703,Motor cars,XVII,2020,1,44169295.25,290061.0418,KG,13,"Houston-Galveston, TX",TRUCK,41277167.12,1786785.59,361262.6249,2020-01-28T00:00:00Z
TRD-000009,EXPORT,BRA,Brazil,Latin America & Caribbean,Upper middle income,2709,Crude petroleum,V,2020,1,5705801.42,111975.1435,KG,01,"New York, NY",RAIL,5501003.67,0,676029.1518,2020-01-28T00:00:00Z
TRD-000010,IMPORT,BRA,Brazil,Latin America & Caribbean,Upper middle income,2709,Crude petroleum,V,2020,1,23749871.5,71426.9527,KG,01,"New York, NY",TRUCK,23468607.23,149767.19,74896.5122,2020-01-28T00:00:00Z
TRD-000011,EXPORT,BRA,Brazil,Latin America & Caribbean,Upper middle income,3004,Medicaments,VI,2020,1,21818960.56,89280.1153,KG,18,"Los Angeles, CA",VESSEL,19460463.63,0,960950.4332,2020-01-28T00:00:00Z
TRD-000012,IMPORT,BRA,Brazil,Latin America & Caribbean,Upper middle income,3004,Medicaments,VI,2020,1,13201952.69,32531.6713,KG,13,"Houston-Galveston, TX",RAIL,11351199.3,648397.63,401461.3014,2020-01-28T00:00:00Z
TRD-000013,EXPORT,CAN,Canada,North America,High income,8542,Electronic integrated circuits,XVI,2020,1,3731385.93,126148.5336,KG,18,"Los Angeles, CA",AIR,3213297.98,0,441904.4948,2020-01-28T00:00:00Z
TRD-000014,IMPORT,CAN,Canada,North America,High income,8542,Electronic integrated circuits,XVI,2020,1,32584754.04,455990.343,KG,01,"New York, NY",TRUCK,32107190.7,2511292.6,278955.3809,2020-01-28T00:00:00Z
TRD-000015,EXPORT,CAN,Canada,North America,High income,7108,Gold,XIV,2020,1,26717352.78,412730.4686,KG,18,"Los Angeles, CA",VESSEL,25520449.55,0,560276.3266,2020-01-28T00:00:00Z
TRD-000016,IMPORT,CAN,Canada,North America,High income,7108,Gold,XIV,2020,1,3743205.02,135933.8329,KG,04,"Chicago, IL",AIR,3737129.02,169428.86,132117.0405,2020-01-28T00:00:00Z
TRD-000017,EXPORT,CAN,Canada,North America,High income,3004,Medicaments,VI,2020,1,46282360.15,182945.1683,KG,01,"New York, NY",TRUCK,46055135.79,0,913377.9519,2020-01-28T00:00:00Z
TRD-000018,IMPORT,CAN,Canada,North America,High income,3004,Medicaments,VI,2020,1,7359253.41,2494.2646,KG,04,"Chicago, IL",RAIL,6677152.07,708427.58,742539.1264,2020-01-28T00:00:00Z
TRD-000019,EXPORT,IND,India,South Asia,Lower middle income,7108,Gold,XIV,2020,1,7902856.52,73881.6238,KG,01,"New York, NY",TRUCK,7086377.31,0,535923.1974,2020-01-28T00:00:00Z
TRD-000020,IMPORT,IND,India,South Asia,Lower middle income,7108,Gold,XIV,2020,1,10672275.29,64765.853,KG,18,"Los Angeles, CA",VESSEL,9195038.06,101402.03,533781.2049,2020-01-28T00:00:00Z
