Timestamp,SourceIP,DestIP,SourcePort,DestPort,Protocol,Action,Direction,BytesSent,BytesReceived,FlowState
2026-04-15T08:00:12Z,10.0.1.42,10.0.2.10,49152,3389,TCP,Allow,Outbound,15234,8921,Established
2026-04-15T08:00:15Z,10.0.1.42,10.0.2.10,49153,445,TCP,Allow,Outbound,52340,12890,Established
2026-04-15T08:01:03Z,198.51.100.23,10.0.3.5,44321,443,TCP,Allow,Inbound,1240,890,Established
2026-04-15T08:01:05Z,198.51.100.23,10.0.3.5,44322,443,TCP,Allow,Inbound,1180,760,Established
2026-04-15T08:01:07Z,198.51.100.23,10.0.3.5,44323,443,TCP,Deny,Inbound,540,0,Failed
2026-04-15T08:05:22Z,10.0.1.15,10.0.2.20,50001,22,TCP,Allow,Outbound,8432,5210,Established
2026-04-15T08:10:45Z,10.0.2.10,203.0.113.50,51234,443,TCP,Allow,Outbound,4936218432,2340,Established
2026-04-15T08:15:00Z,10.0.1.28,198.51.100.99,52001,443,TCP,Allow,Outbound,3200,98210,Established
2026-04-15T08:15:02Z,10.0.1.28,198.51.100.99,52002,443,TCP,Allow,Outbound,2800,87430,Established
2026-04-15T08:20:11Z,10.0.1.42,10.0.2.30,49200,135,TCP,Allow,Outbound,4521,2310,Established
2026-04-15T08:20:15Z,10.0.1.42,10.0.2.31,49201,135,TCP,Allow,Outbound,4320,2100,Established
2026-04-15T08:20:18Z,10.0.1.42,10.0.2.32,49202,135,TCP,Deny,Outbound,380,0,Failed
2026-04-15T08:25:30Z,10.0.1.28,192.0.2.50,53,53,UDP,Allow,Outbound,320,180,Stateless
2026-04-15T08:25:31Z,10.0.1.28,192.0.2.50,53,53,UDP,Allow,Outbound,340,190,Stateless
2026-04-15T08:25:32Z,10.0.1.28,192.0.2.50,53,53,UDP,Allow,Outbound,310,175,Stateless
2026-04-15T08:25:33Z,10.0.1.28,192.0.2.50,53,53,UDP,Allow,Outbound,380,200,Stateless
2026-04-15T08:25:34Z,10.0.1.28,192.0.2.50,53,53,UDP,Allow,Outbound,350,185,Stateless
2026-04-15T08:30:00Z,10.0.4.5,10.0.1.42,445,49300,TCP,Allow,Inbound,120340,89210,Established
2026-04-15T08:35:10Z,192.168.1.100,10.0.3.5,60001,443,TCP,Deny,Inbound,0,0,Failed
2026-04-15T08:35:12Z,192.168.1.100,10.0.3.5,60002,443,TCP,Deny,Inbound,0,0,Failed
2026-04-15T08:35:14Z,192.168.1.100,10.0.3.5,60003,443,TCP,Deny,Inbound,0,0,Failed
2026-04-15T08:40:22Z,10.0.2.10,10.0.2.50,49500,1433,TCP,Allow,Outbound,28900,345200,Established
2026-04-15T08:45:00Z,10.0.1.15,10.0.5.10,49600,8443,TCP,Allow,Outbound,5400,3200,Established
2026-04-15T08:50:33Z,10.0.1.42,10.0.2.10,49700,5985,TCP,Allow,Outbound,18230,12400,Established
2026-04-15T08:55:01Z,10.0.2.30,10.0.2.31,49800,445,TCP,Allow,Outbound,94300,67200,Established
2026-04-15T09:00:15Z,198.51.100.23,10.0.3.5,44400,443,TCP,Deny,Inbound,420,0,Failed
2026-04-15T09:00:16Z,198.51.100.23,10.0.3.5,44401,443,TCP,Deny,Inbound,420,0,Failed
2026-04-15T09:00:17Z,198.51.100.23,10.0.3.5,44402,443,TCP,Deny,Inbound,420,0,Failed
2026-04-15T09:00:18Z,198.51.100.23,10.0.3.5,44403,443,TCP,Deny,Inbound,420,0,Failed
2026-04-15T09:00:19Z,198.51.100.23,10.0.3.5,44404,443,TCP,Deny,Inbound,420,0,Failed
2026-04-15T09:05:44Z,10.0.1.50,10.0.6.10,49900,443,TCP,Allow,Outbound,12300,8900,Established
2026-04-15T09:10:22Z,10.0.2.10,10.0.2.11,50100,3389,TCP,Allow,Outbound,23400,18700,Established
2026-04-15T09:15:00Z,10.0.1.28,192.0.2.50,53,53,UDP,Allow,Outbound,290,160,Stateless
2026-04-15T09:15:01Z,10.0.1.28,192.0.2.50,53,53,UDP,Allow,Outbound,310,170,Stateless
2026-04-15T09:20:30Z,10.0.1.42,10.0.3.5,50200,443,TCP,Allow,Outbound,7800,4300,Established
2026-04-15T09:25:45Z,10.0.7.1,10.0.1.42,50300,22,TCP,Deny,Inbound,0,0,Failed
2026-04-15T09:30:00Z,10.0.2.10,10.0.2.50,50400,1433,TCP,Allow,Outbound,45600,234500,Established
2026-04-15T09:35:12Z,10.0.1.15,10.0.5.20,50500,8080,TCP,Allow,Outbound,3400,2100,Established
2026-04-15T09:40:28Z,10.0.1.42,198.51.100.99,50600,8443,TCP,Allow,Outbound,1200,45600,Established
2026-04-15T09:45:00Z,10.0.2.30,10.0.2.33,50700,5985,TCP,Allow,Outbound,8900,5600,Established
2026-04-15T09:50:15Z,10.0.1.50,10.0.3.5,50800,443,TCP,Allow,Outbound,6700,4100,Established
2026-04-15T09:55:30Z,10.0.4.5,10.0.2.10,50900,445,TCP,Allow,Outbound,156000,98400,Established
2026-04-15T10:00:00Z,10.0.1.42,10.0.2.10,51000,3389,TCP,Allow,Outbound,34200,28100,Established
2026-04-15T10:05:22Z,10.0.2.10,10.0.2.50,51100,1433,TCP,Allow,Outbound,12300,89400,Established
2026-04-15T10:10:45Z,203.0.113.10,10.0.3.5,51200,443,TCP,Deny,Inbound,0,0,Failed
2026-04-15T10:15:00Z,10.0.1.28,192.0.2.50,53,53,UDP,Allow,Outbound,330,180,Stateless
2026-04-15T10:20:30Z,10.0.1.15,10.0.6.10,51300,443,TCP,Allow,Outbound,9800,6200,Established
2026-04-15T10:25:00Z,10.0.2.10,203.0.113.50,51400,443,TCP,Allow,Outbound,2348109234,1890,Established
