st_case,state,county,city,latitude,longitude,route,tway_id,tway_id2,rur_urb,func_sys,year,month,day,day_week,hour,minute,fatals,drunk_dr,persons,ve_total,ve_forms,peds,nhs,sp_jur,weather,weather1,weather2,lgt_cond,cf1,cf2,cf3,rd_owner,man_coll,typ_int,rel_road,sch_bus,sp_limit,load_time
10001,1,1,0,32.483521,-86.491208,1,I-85,SR-40,1,1,2022,1,15,7,14,30,1,0,3,2,2,0,1,0,1,1,0,1,0,0,0,1,2,1,1,0,70,2022-01-16 08:00:00
10002,1,3,100,30.694512,-88.041595,2,US-98,,2,3,2022,1,18,3,22,45,1,1,2,1,1,0,0,0,2,2,0,2,0,0,0,1,0,3,2,0,55,2022-01-19 08:00:00
10003,1,15,500,33.524891,-86.812714,3,AL-79,,1,4,2022,2,3,5,7,15,2,0,5,3,3,0,0,0,1,1,0,1,0,0,0,1,6,1,1,0,45,2022-02-04 08:00:00
10004,1,33,0,34.765432,-87.654321,1,I-65,,1,1,2022,2,14,2,19,10,1,0,2,2,2,0,1,0,10,10,0,3,0,0,0,1,2,1,1,0,65,2022-02-15 08:00:00
10005,1,55,200,31.234567,-85.987654,4,CR-12,,2,7,2022,3,1,3,6,50,1,0,1,1,1,0,0,0,1,1,0,1,0,0,0,2,0,3,1,0,35,2022-03-02 08:00:00
10006,1,73,0,33.209876,-87.543210,2,US-82,,2,3,2022,3,22,3,16,25,1,1,3,2,2,1,0,0,1,1,0,1,0,0,0,1,2,1,2,0,55,2022-03-23 08:00:00
10007,1,89,300,34.876543,-86.234567,3,AL-53,,1,4,2022,4,5,3,11,40,1,0,4,2,2,0,0,0,1,1,0,1,0,0,0,1,6,2,1,0,50,2022-04-06 08:00:00
10008,1,97,0,32.123456,-86.765432,1,I-65,,1,1,2022,4,18,2,3,20,2,1,4,3,3,0,1,0,2,2,0,3,0,0,0,1,6,1,1,0,70,2022-04-19 08:00:00
10009,1,101,150,33.876123,-87.123456,2,US-43,,2,3,2022,5,7,7,15,55,1,0,2,1,1,0,0,0,1,1,0,1,0,0,0,1,0,3,1,0,55,2022-05-08 08:00:00
10010,1,117,0,34.543210,-86.876543,3,AL-67,,1,4,2022,5,20,6,8,30,1,0,3,2,2,0,0,0,1,1,0,1,0,0,0,1,2,1,1,0,45,2022-05-21 08:00:00
20001,4,13,3000,33.448376,-112.076240,1,I-10,,1,1,2022,1,5,4,17,45,1,0,4,3,3,0,1,0,1,1,0,1,0,0,0,1,6,1,1,0,65,2022-01-06 08:00:00
20002,4,13,3000,33.525432,-112.123456,2,US-60,,1,3,2022,1,22,7,21,15,2,1,5,2,2,1,0,0,1,1,0,3,0,0,0,1,2,1,2,0,45,2022-01-23 08:00:00
