trifid,facility_name,street_address,city,state,zip_code,county_fips,county_name,latitude,longitude,primary_naics,industry_sector,number_of_employees,parent_company,federal_facility,reporting_year,chemical_id,chemical_name,cas_number,chemical_classification,carcinogen,pfas_chemical,metal_category,fugitive_air,stack_air,water_discharge,underground_injection,land_disposal,offsite_transfer,total_releases,onsite_recycled,onsite_energy_recovery,onsite_treated,source_reduction_activity,production_ratio,load_time
52851NTJTP,AMERICAN REFINERY,2132 MILL DR,PHILADELPHIA,MI,57175,00081,CUYAHOGA,26.074290,-109.412093,212231,Chemicals,100,,False,2022,CH440493,PFOA,335-67-1,ORGANIC,False,True,Non-Metal,3061.02,2606.39,609.44,0,1545.95,6145.59,13968.39,37.18,1109.46,757.5,W19,0.7012,2022-07-01 08:00:00
44294VUQFA,ATLANTIC REFINERY,4058 FACTORY ST,NEWARK,FL,36268,00095,EAST BATON ROUGE,32.482108,-70.906173,336111,Food,1000,,False,2020,CH247663,ETHYLENE OXIDE,75-21-8,ORGANIC,True,False,Non-Metal,4683.35,20154.23,1163.23,0,0,8147.7,34148.51,7008.03,592.82,3195.22,,1.0255,2020-07-01 08:00:00
75801RFQOU,EASTERN CHEMICAL CO,5775 MILL AVE,DETROIT,PA,20674,00105,JEFFERSON,39.186716,-100.078047,212231,Paper,100,,False,2020,CH796894,LEAD,7439-92-1,METAL,False,False,Lead,4792.48,20019.14,754.3,0,0,1494.17,27060.09,3276.79,1838.0,7524.48,W59,1.0376,2020-07-01 08:00:00
14284OKRCR,GLOBAL MANUFACTURING,3320 FACTORY DR,BATON ROUGE,TX,41293,00083,WAYNE,42.737035,-90.915174,326199,Mining,100,,False,2021,CH368036,POLYCHLORINATED BIPHENYLS,1336-36-3,DIOXIN,True,False,Non-Metal,4103.38,8357.79,1776.8,0,0,7813.08,22051.05,6687.24,4121.93,963.38,W41,0.8225,2021-07-01 08:00:00
85712OJXEG,SOUTHERN FOUNDRY,1510 PLANT AVE,FLINT,NC,92838,00094,CUYAHOGA,27.670305,-106.597505,326199,Electric Utilities,100,MEGA CORP,False,2021,CH859430,BENZENE,71-43-2,ORGANIC,True,False,Non-Metal,4237.97,6142.12,1377.98,315.58,0,2154.65,14228.3,3141.34,871.06,934.24,W59,1.1038,2021-07-01 08:00:00
44543FWLYW,PACIFIC CHEMICAL CO,6707 MILL DR,HOUSTON,IL,47893,00194,COOK,32.193808,-91.846018,336111,Paper,250,US CONGLOMERATE,False,2023,CH377196,BENZENE,71-43-2,ORGANIC,True,False,Non-Metal,4469.51,18795.89,538.32,0,0,3858.93,27662.65,2749.39,2160.09,7740.18,,1.3482,2023-07-01 08:00:00
58749HGRIF,ACME REFINERY,7622 COMMERCE AVE,GARY,TX,84670,00062,CUYAHOGA,34.252780,-116.326388,311611,Transportation Equipment,500,,False,2022,CH704241,ARSENIC,7440-38-2,METAL,True,False,Arsenic,4082.54,13240.12,1637.89,0,0,8922.49,27883.04,9219.61,121.11,7320.43,W13,0.6047,2022-07-01 08:00:00
12157FKCUO,NATIONAL FOUNDRY,1497 FACTORY BLVD,DETROIT,GA,68505,00042,COOK,30.003403,-83.784711,221112,Chemicals,100,MEGA CORP,False,2023,CH726485,TOLUENE,108-88-3,ORGANIC,False,False,Non-Metal,3156.24,24021.23,1498.56,0,382.39,3894.85,32953.27,551.35,5204.96,6963.45,,0.8637,2023-07-01 08:00:00
11747RXZWM,MIDWEST PLASTICS INC,2398 FACTORY ST,NEWARK,FL,15168,00136,EAST BATON ROUGE,46.386879,-85.488921,326199,Petroleum,100,MEGA CORP,False,2020,CH964548,POLYCHLORINATED BIPHENYLS,1336-36-3,DIOXIN,True,False,Non-Metal,2316.22,23658.43,418.52,0,0,6495.44,32888.61,6390.85,5637.0,9830.58,W13,1.1681,2020-07-01 08:00:00
32187VZKYE,EASTERN CHEMICAL CO,2037 FACTORY AVE,NEWARK,PA,12070,00009,CUYAHOGA,36.597035,-100.808864,326199,Primary Metals,500,MEGA CORP,False,2020,CH159349,CHROMIUM,7440-47-3,METAL,True,False,Chromium,2949.63,16403.33,839.39,0,1381.13,2080.19,23653.67,2026.08,1500.36,4970.4,W13,0.906,2020-07-01 08:00:00
