pwsid,pws_name,pws_type_code,primary_source_code,population_served_count,service_connections_count,state_code,county_name,county_fips,city_name,zip_code,latitude,longitude,violation_id,contaminant_code,contaminant_name,violation_type_code,violation_type_name,compliance_begin_date,compliance_end_date,violation_status,severity_ind,enforcement_id,enforcement_action_type,enforcement_date,load_time
IL4924770,VILLAGE OF FAIRVIEW,CWS,SWP,250,98,IL,WASHINGTON,039,FAIRVIEW,82106,47.378582,-88.684443,V725789,2050,TOTAL HALOACETIC ACIDS (HAA5),PN,Public Notification,2023-07-20,2023-08-19,CLOSED,FS,E846361,,2023-10-11,2023-07-20 08:00:00
FL3270582,COUNTY SPRINGFIELD,CWS,SWP,25000,8484,FL,LINCOLN,060,SPRINGFIELD,67295,43.524281,-72.594453,V512467,3014,E. COLI,MCL,Maximum Contaminant Level,2023-04-20,2023-07-19,CLOSED,FS,,,,2023-04-20 08:00:00
PA7664136,TOWN OF FRANKLIN,CWS,SWP,3500,1425,PA,FRANKLIN,166,FRANKLIN,53235,31.454752,-110.740244,V576971,2456,TOTAL TRIHALOMETHANES (TTHM),PN,Public Notification,2023-11-28,2024-01-27,OPEN,NODEFICIENCY,,,,2023-11-28 08:00:00
IL9005207,CITY OF CLINTON,TNCWS,SW,1200,432,IL,FRANKLIN,049,CLINTON,86867,45.069976,-93.593807,V505450,1024,COPPER,MON,Monitoring,2023-08-16,2023-11-14,OPEN,SNC,,,,2023-08-16 08:00:00
NC1382113,COUNTY MADISON,CWS,GW,25000,9203,NC,ADAMS,196,MADISON,35370,34.877826,-115.919010,V516784,2456,TOTAL TRIHALOMETHANES (TTHM),MCL,Maximum Contaminant Level,2023-06-09,2023-07-09,OPEN,NODEFICIENCY,,,,2023-06-09 08:00:00
PA8653183,MWD MAPLEWOOD,TNCWS,GW,1200,539,PA,UNION,032,MAPLEWOOD,55898,27.367888,-72.856389,V100040,1005,ARSENIC,PN,Public Notification,2023-01-24,2023-03-25,CLOSED,SNC,,,,2023-01-24 08:00:00
PA6652811,MWD FRANKLIN,NTNCWS,SW,8500,2815,PA,ADAMS,021,FRANKLIN,95372,34.410098,-98.080147,V555681,2456,TOTAL TRIHALOMETHANES (TTHM),MCL,Maximum Contaminant Level,2023-05-24,2023-06-23,OPEN,FS,E637948,Administrative Order,2023-10-04,2023-05-24 08:00:00
PA8557591,TOWN OF MADISON,TNCWS,SWP,1200,370,PA,LINCOLN,101,MADISON,11399,43.864114,-115.614857,V758154,2050,TOTAL HALOACETIC ACIDS (HAA5),MRDL,Maximum Residual Disinfectant Level,2023-06-13,2023-09-11,OPEN,VS,,,,2023-06-13 08:00:00
CA5880770,MWD GREENVILLE,CWS,SWP,25000,10731,CA,MONTGOMERY,034,GREENVILLE,85594,34.426249,-79.672782,V485400,1040,NITRATE,RPT,Reporting,2023-09-16,2023-12-15,ADDRESSED,FS,,,,2023-09-16 08:00:00
IL6930952,CITY OF RIVERSIDE,CWS,SW,250,93,IL,ADAMS,013,RIVERSIDE,99713,32.676357,-95.133490,V576436,2456,TOTAL TRIHALOMETHANES (TTHM),RPT,Reporting,2023-05-23,2023-06-22,ADDRESSED,FS,,,,2023-05-23 08:00:00
