order_id,customer_id,product_id,order_date,ship_date,quantity,unit_price,discount_pct
O0000001,C00635,P00439,2024-07-05,2024-07-17,10,604.58,0.15
O0000002,C00065,P00338,2024-10-02,2024-10-15,7,482.77,0.15
O0000003,C00510,P00393,2024-10-09,2024-10-11,10,714.99,0.05
O0000004,C00657,P00165,2024-02-26,2024-02-27,9,1650.64,0
O0000005,C00856,P00481,2024-03-07,2024-03-09,1,513.18,0.05
O0000006,C00197,P00051,2024-01-17,2024-01-26,7,1648.22,0.1
O0000007,C00639,P00360,2024-10-29,2024-11-02,1,922.22,0.1
O0000008,C00736,P00037,2024-01-07,2024-01-21,4,1642.82,0.2
O0000009,C00082,P00240,2025-02-14,2025-02-24,1,908.71,0.15
O0000010,C00961,P00456,2024-07-31,2024-08-13,6,1987.68,0
O0000011,C00844,P00316,2024-05-16,2024-05-24,1,1838.41,0.2
O0000012,C00312,P00040,2024-04-20,2024-04-28,2,262.05,0
O0000013,C00545,P00198,2024-04-07,2024-04-10,9,1645.62,0.1
O0000014,C00641,P00486,2024-04-01,2024-04-09,9,1043.81,0
O0000015,C00785,P00327,2024-10-22,2024-10-27,8,1759.35,0.05
O0000016,C00905,P00054,2024-03-26,2024-04-07,3,1379.41,0.1
O0000017,C00346,P00337,2024-03-21,2024-03-29,10,1113.1,0
O0000018,C00925,P00162,2024-10-08,2024-10-13,6,1036.73,0.15
O0000019,C00441,P00423,2025-01-06,2025-01-11,10,609.4,0.1
O0000020,C00220,P00193,2025-01-27,2025-02-04,5,906.42,0.05
O0000021,C00459,P00492,2024-07-22,2024-07-22,1,2457.56,0.1
O0000022,C00017,P00266,2024-03-10,2024-03-24,5,26.36,0
O0000023,C00220,P00439,2024-06-10,2024-06-10,5,2298.59,0.1
O0000024,C00570,P00293,2024-10-19,2024-10-21,2,103.96,0
O0000025,C00160,P00071,2024-05-15,2024-05-20,10,632.14,0
O0000026,C00831,P00154,2024-02-17,2024-02-26,7,1426.97,0
O0000027,C00752,P00040,2025-01-05,2025-01-10,8,440.53,0.2
O0000028,C00921,P00354,2024-12-25,2025-01-03,2,1492.13,0
O0000029,C00039,P00375,2025-02-17,2025-02-26,7,205.41,0
O0000030,C00944,P00395,2024-06-20,2024-06-25,7,1047.14,0.2
O0000031,C00124,P00446,2025-01-29,2025-02-01,10,2322.35,0.15
O0000032,C00797,P00324,2024-07-14,2024-07-14,5,1315.71,0
O0000033,C00553,P00290,2024-03-17,2024-03-22,9,1747.44,0
O0000034,C00052,P00345,2025-01-09,2025-01-15,8,1884.57,0.1
O0000035,C00517,P00047,2024-04-23,2024-04-29,5,1968.06,0
O0000036,C00136,P00173,2024-02-12,2024-02-19,10,1865.83,0.1
O0000037,C00409,P00135,2024-02-13,2024-02-19,9,1091.88,0.15
O0000038,C00134,P00391,2024-03-10,2024-03-17,9,503.29,0.05
O0000039,C00668,P00293,2024-04-10,2024-04-18,10,2492.73,0.1
O0000040,C00253,P00125,2024-02-06,2024-02-10,7,815.29,0.1
O0000041,C00092,P00058,2024-12-09,2024-12-15,7,919.52,0
O0000042,C00329,P00177,2024-10-31,2024-11-10,1,1926.51,0
O0000043,C00359,P00316,2025-02-24,2025-03-08,8,1561.72,0.05
O0000044,C00046,P00474,2025-02-22,2025-02-25,4,1716.54,0
O0000045,C00776,P00373,2025-03-12,2025-03-13,2,1851.56,0
O0000046,C00972,P00318,2024-03-16,2024-03-29,5,44.2,0.15
