reading_id,device_id,equipment_id,sensor_type,reading_value,unit,reading_timestamp,quality_flag
R001,DEV-CNC-01,EQ-CNC-001,temperature_c,72.4,celsius,2026-04-15T08:00:00Z,GOOD
R002,DEV-CNC-01,EQ-CNC-001,vibration_mm_s,2.3,mm/s,2026-04-15T08:00:00Z,GOOD
R003,DEV-CNC-01,EQ-CNC-001,pressure_bar,6.1,bar,2026-04-15T08:00:00Z,GOOD
R004,DEV-PRS-01,EQ-PRS-001,temperature_c,85.2,celsius,2026-04-15T08:00:00Z,GOOD
R005,DEV-PRS-01,EQ-PRS-001,vibration_mm_s,4.7,mm/s,2026-04-15T08:00:00Z,GOOD
R006,DEV-PRS-01,EQ-PRS-001,pressure_bar,12.8,bar,2026-04-15T08:00:00Z,GOOD
R007,DEV-CNV-01,EQ-CNV-001,temperature_c,34.1,celsius,2026-04-15T08:05:00Z,GOOD
R008,DEV-CNV-01,EQ-CNV-001,vibration_mm_s,1.1,mm/s,2026-04-15T08:05:00Z,GOOD
R009,DEV-CNC-01,EQ-CNC-001,temperature_c,73.8,celsius,2026-04-15T08:10:00Z,GOOD
R010,DEV-CNC-01,EQ-CNC-001,vibration_mm_s,2.5,mm/s,2026-04-15T08:10:00Z,GOOD
R011,DEV-PRS-01,EQ-PRS-001,temperature_c,87.9,celsius,2026-04-15T08:10:00Z,GOOD
R012,DEV-PRS-01,EQ-PRS-001,vibration_mm_s,11.2,mm/s,2026-04-15T08:10:00Z,GOOD
R013,DEV-CNC-01,EQ-CNC-001,temperature_c,74.2,celsius,2026-04-15T08:20:00Z,GOOD
R014,DEV-CNC-01,EQ-CNC-001,vibration_mm_s,2.4,mm/s,2026-04-15T08:20:00Z,GOOD
R015,DEV-PRS-01,EQ-PRS-001,pressure_bar,13.1,bar,2026-04-15T08:20:00Z,GOOD
R016,DEV-CNV-01,EQ-CNV-001,vibration_mm_s,1.3,mm/s,2026-04-15T08:20:00Z,GOOD
R017,DEV-CNC-01,EQ-CNC-001,temperature_c,98.6,celsius,2026-04-15T08:30:00Z,GOOD
R018,DEV-CNC-01,EQ-CNC-001,vibration_mm_s,8.9,mm/s,2026-04-15T08:30:00Z,GOOD
R019,DEV-PRS-01,EQ-PRS-001,temperature_c,86.4,celsius,2026-04-15T08:30:00Z,GOOD
R020,DEV-CNV-01,EQ-CNV-001,temperature_c,35.0,celsius,2026-04-15T08:30:00Z,GOOD
