application_id,application_ts,applicant_age,annual_income,loan_amount,loan_term_months,credit_score,employment_years,debt_to_income,home_ownership,loan_purpose,delinquencies_2yr,defaulted
APP-0001-0000000,2023-11-14T22:13:20Z,47,24341.65,1440.97,24,742,4.39,0.1488,OWN,DEBT_CONSOLIDATION,0,0
APP-0001-0000001,2023-11-14T22:18:20Z,50,52646.37,16923.93,24,655,8.13,0.1954,OWN,DEBT_CONSOLIDATION,1,0
APP-0001-0000002,2023-11-14T22:23:20Z,65,47099.34,27523.87,12,576,11.35,0.4921,OWN,DEBT_CONSOLIDATION,0,0
APP-0001-0000003,2023-11-14T22:28:20Z,77,62701.42,12979.56,24,672,12.57,0.354,OWN,EDUCATION,0,0
APP-0001-0000004,2023-11-14T22:33:20Z,20,62805.31,28985.9,24,648,2,0.2193,OWN,EDUCATION,0,0
APP-0001-0000005,2023-11-14T22:38:20Z,27,147713.14,43358.81,36,734,9,0.4031,MORTGAGE,EDUCATION,1,0
APP-0001-0000006,2023-11-14T22:43:20Z,69,34530.24,5701.1,36,693,38.87,0.2937,RENT,EDUCATION,0,0
APP-0001-0000007,2023-11-14T22:48:20Z,77,48053.86,26321.57,60,565,30.99,0.2766,OWN,DEBT_CONSOLIDATION,0,0
APP-0001-0000008,2023-11-14T22:53:20Z,33,142806.7,8462.01,60,596,15,0.2205,RENT,DEBT_CONSOLIDATION,0,1
APP-0001-0000009,2023-11-14T22:58:20Z,37,76192.35,16528.4,48,741,19,0.2297,RENT,AUTO,0,0
APP-0001-0000010,2023-11-14T23:03:20Z,72,76755.36,46012.09,36,727,23.88,0.6942,RENT,AUTO,1,0
APP-0001-0000011,2023-11-14T23:08:20Z,44,45192.98,8775.61,48,635,26,0.2989,OWN,DEBT_CONSOLIDATION,1,0
APP-0001-0000012,2023-11-14T23:13:20Z,35,27129.21,14025.11,60,679,17,0.6612,RENT,EDUCATION,2,1
APP-0001-0000013,2023-11-14T23:18:20Z,70,61411.91,23528.48,12,711,20.01,0.3679,MORTGAGE,DEBT_CONSOLIDATION,1,0
APP-0001-0000014,2023-11-14T23:23:20Z,34,59817.67,29509.23,24,712,3.08,0.2042,RENT,AUTO,0,0
APP-0001-0000015,2023-11-14T23:28:20Z,43,32783.86,13004.53,36,741,19.54,0.5033,RENT,HOME_IMPROVEMENT,0,0
APP-0001-0000016,2023-11-14T23:33:20Z,58,41879.34,10448.2,12,697,8.51,0.1829,MORTGAGE,BUSINESS,0,0
APP-0001-0000017,2023-11-14T23:38:20Z,52,55137.22,25828.14,36,673,5.31,0.3005,OWN,AUTO,1,0
APP-0001-0000018,2023-11-14T23:43:20Z,23,37229.69,2403.79,24,661,5,0.1836,MORTGAGE,AUTO,0,1
APP-0001-0000019,2023-11-14T23:48:20Z,19,54490.33,16115.36,24,753,1,0.1308,RENT,HOME_IMPROVEMENT,0,0
APP-0001-0000020,2023-11-14T23:53:20Z,72,59454.55,15132.37,24,522,11.8,0.061,MORTGAGE,DEBT_CONSOLIDATION,1,0
APP-0001-0000021,2023-11-14T23:58:20Z,65,57873.44,18079.12,12,670,30.75,0.3808,RENT,BUSINESS,0,0
APP-0001-0000022,2023-11-15T00:03:20Z,70,45350.15,5450.7,48,682,21.03,0.1605,RENT,HOME_IMPROVEMENT,0,0
APP-0001-0000023,2023-11-15T00:08:20Z,51,74398.17,12824.67,36,580,5.96,0.2058,RENT,DEBT_CONSOLIDATION,0,0
APP-0001-0000024,2023-11-15T00:13:20Z,69,85052.6,30544.8,36,703,38.6,0.0918,MORTGAGE,DEBT_CONSOLIDATION,1,0
APP-0001-0000025,2023-11-15T00:18:20Z,38,65800.44,17323.48,12,634,16.07,0.0428,MORTGAGE,DEBT_CONSOLIDATION,1,0
APP-0001-0000026,2023-11-15T00:23:20Z,46,39410.85,19130.46,36,740,11.81,0.0846,RENT,DEBT_CONSOLIDATION,2,0
APP-0001-0000027,2023-11-15T00:28:20Z,67,79161.36,30304.96,36,671,33.88,0.2632,MORTGAGE,BUSINESS,0,0
APP-0001-0000028,2023-11-15T00:33:20Z,25,45449.27,23801.63,24,726,4.98,0.5225,MORTGAGE,HOME_IMPROVEMENT,0,0
APP-0001-0000029,2023-11-15T00:38:20Z,37,84594.31,38304.17,36,765,19,0.6341,MORTGAGE,DEBT_CONSOLIDATION,1,1
APP-0001-0000030,2023-11-15T00:43:20Z,25,35161.1,13396.48,12,706,7,0.4921,MORTGAGE,AUTO,0,0
APP-0001-0000031,2023-11-15T00:48:20Z,46,85949.07,17893.62,12,618,15.7,0.0648,RENT,DEBT_CONSOLIDATION,0,0
APP-0001-0000032,2023-11-15T00:53:20Z,79,56442.15,27121.48,24,573,9.28,0.5294,MORTGAGE,BUSINESS,0,1
APP-0001-0000033,2023-11-15T00:58:20Z,26,32469.71,6110.71,36,802,8,0.3739,RENT,EDUCATION,1,0
APP-0001-0000034,2023-11-15T01:03:20Z,42,49451.38,4518.18,36,672,15.6,0.113,RENT,DEBT_CONSOLIDATION,0,0
APP-0001-0000035,2023-11-15T01:08:20Z,43,58357.67,33822.68,48,631,25,0.1784,OWN,HOME_IMPROVEMENT,1,0
APP-0001-0000036,2023-11-15T01:13:20Z,74,64392.74,22344.68,24,690,25.01,0.185,MORTGAGE,DEBT_CONSOLIDATION,1,0
APP-0001-0000037,2023-11-15T01:18:20Z,30,36607.75,17412.18,12,666,12,0.2657,RENT,DEBT_CONSOLIDATION,0,0
APP-0001-0000038,2023-11-15T01:23:20Z,49,34602.53,11801.97,48,739,20.86,0.319,MORTGAGE,AUTO,0,0
