transaction_id,store_id,sku,quantity,unit_price,discount_amount,transaction_timestamp,payment_method,cashier_id
TXN-00001,STR-001,SKU-1001,2,12.99,0.00,2026-04-15T09:03:22Z,Credit,CSH-014
TXN-00002,STR-001,SKU-2045,1,34.50,5.00,2026-04-15T09:07:45Z,Debit,CSH-014
TXN-00003,STR-002,SKU-1001,3,12.99,0.00,2026-04-15T09:15:10Z,Cash,CSH-027
TXN-00004,STR-002,SKU-3090,1,89.99,10.00,2026-04-15T09:22:33Z,Credit,CSH-027
TXN-00005,STR-003,SKU-2045,5,34.50,8.63,2026-04-15T10:01:05Z,Credit,CSH-031
TXN-00006,STR-003,SKU-4010,2,7.49,0.00,2026-04-15T10:05:18Z,Cash,CSH-031
TXN-00007,STR-001,SKU-4010,4,7.49,1.50,2026-04-15T10:30:42Z,Debit,CSH-015
TXN-00008,STR-004,SKU-1001,1,12.99,0.00,2026-04-15T11:12:09Z,Cash,CSH-042
TXN-00009,STR-004,SKU-5500,2,24.00,3.00,2026-04-15T11:14:55Z,Credit,CSH-042
TXN-00010,STR-005,SKU-3090,1,89.99,0.00,2026-04-15T11:45:30Z,Credit,CSH-051
TXN-00011,STR-005,SKU-2045,2,34.50,0.00,2026-04-15T12:10:08Z,Debit,CSH-052
TXN-00012,STR-006,SKU-1001,6,12.99,3.90,2026-04-15T12:33:17Z,Credit,CSH-061
TXN-00013,STR-006,SKU-5500,1,24.00,0.00,2026-04-15T12:35:02Z,Cash,CSH-061
TXN-00014,STR-007,SKU-4010,3,7.49,0.00,2026-04-15T13:05:44Z,Credit,CSH-071
TXN-00015,STR-007,SKU-3090,1,89.99,13.50,2026-04-15T13:10:21Z,Credit,CSH-071
TXN-00016,STR-008,SKU-2045,4,34.50,6.90,2026-04-15T13:42:58Z,Debit,CSH-081
TXN-00017,STR-008,SKU-1001,2,12.99,0.00,2026-04-15T14:00:15Z,Cash,CSH-082
TXN-00018,STR-001,SKU-5500,1,24.00,0.00,2026-04-15T14:22:37Z,Credit,CSH-014
TXN-00019,STR-003,SKU-1001,3,12.99,1.95,2026-04-15T14:50:09Z,Debit,CSH-032
TXN-00020,STR-005,SKU-4010,2,7.49,0.00,2026-04-15T15:15:43Z,Cash,CSH-051
