"Name","DisplayName","Description","PolicyType","Id","Type","PolicyRule","Parameter","Mode","Metadata","Category"
"0277b2d5-6e6f-4d97-9929-a5c4eab56fd7","Enable logging by category group for Service Bus Namespaces (microsoft.servicebus/namespaces) to Log Analytics","Resource logs should be enabled to track activities and events that take place on your resources and give you visibility and insights into any changes that occur. This policy deploys a diagnostic setting using a category group to route logs to a Log Analytics workspace for Service Bus Namespaces (microsoft.servicebus/namespaces).","BuiltIn","/providers/Microsoft.Authorization/policyDefinitions/0277b2d5-6e6f-4d97-9929-a5c4eab56fd7","Microsoft.Authorization/policyDefinitions","@{if=; then=}","@{effect=; diagnosticSettingName=; categoryGroup=; resourceLocationList=; logAnalytics=}","Indexed","@{category=Monitoring; version=1.1.0}","Monitoring"
"041e904a-33e5-45fd-b3f6-4ac95f1f8761","Enable logging by category group for microsoft.devices/provisioningservices to Log Analytics","Resource logs should be enabled to track activities and events that take place on your resources and give you visibility and insights into any changes that occur. This policy deploys a diagnostic setting using a category group to route logs to a Log Analytics workspace for microsoft.devices/provisioningservices.","BuiltIn","/providers/Microsoft.Authorization/policyDefinitions/041e904a-33e5-45fd-b3f6-4ac95f1f8761","Microsoft.Authorization/policyDefinitions","@{if=; then=}","@{effect=; diagnosticSettingName=; categoryGroup=; resourceLocationList=; logAnalytics=}","Indexed","@{category=Monitoring; version=1.0.0}","Monitoring"
"041fdf14-0dd4-4ce0-83ff-de5456be0c85","Enable logging by category group for Azure Database for MySQL servers (microsoft.dbformysql/servers) to Log Analytics","Resource logs should be enabled to track activities and events that take place on your resources and give you visibility and insights into any changes that occur. This policy deploys a diagnostic setting using a category group to route logs to a Log Analytics workspace for Azure Database for MySQL servers (microsoft.dbformysql/servers).","BuiltIn","/providers/Microsoft.Authorization/policyDefinitions/041fdf14-0dd4-4ce0-83ff-de5456be0c85","Microsoft.Authorization/policyDefinitions","@{if=; then=}","@{effect=; diagnosticSettingName=; categoryGroup=; resourceLocationList=; logAnalytics=}","Indexed","@{category=Monitoring; version=1.0.0}","Monitoring"
"04754ef9-9ae3-4477-bf17-86ef50026304","Configure SQL Virtual Machines to automatically install Microsoft Defender for SQL and DCR with a user-defined LA workspace","Microsoft Defender for SQL collects events from the agent and uses them to provide security alerts and tailored hardening tasks (recommendations). Create a resource group and a Data Collection Rule in the same region as the user-defined Log Analytics workspace.","BuiltIn","/providers/Microsoft.Authorization/policyDefinitions/04754ef9-9ae3-4477-bf17-86ef50026304","Microsoft.Authorization/policyDefinitions","@{if=; then=}","@{effect=; userWorkspaceResourceId=; workspaceRegion=; userWorkspaceId=; enableCollectionOfSqlQueriesForSecurityResearch=; bringYourOwnDcr=}","Indexed","@{version=1.7.0; category=Security Center}","Security Center"
"04d53d87-841c-4f23-8a5b-21564380b55e","Deploy Diagnostic Settings for Service Bus to Log Analytics workspace","Deploys the diagnostic settings for Service Bus to stream to a regional Log Analytics workspace when any Service Bus which is missing this diagnostic settings is created or updated.","BuiltIn","/providers/Microsoft.Authorization/policyDefinitions/04d53d87-841c-4f23-8a5b-21564380b55e","Microsoft.Authorization/policyDefinitions","@{if=; then=}","@{effect=; profileName=; logAnalytics=; metricsEnabled=; logsEnabled=}","Indexed","@{version=2.1.0; category=Monitoring}","Monitoring"
"0509e2d8-d657-4563-a7c8-b88b9180a6e8","Enable logging by category group for microsoft.community/communitytrainings to Log Analytics","Resource logs should be enabled to track activities and events that take place on your resources and give you visibility and insights into any changes that occur. This policy deploys a diagnostic setting using a category group to route logs to a Log Analytics workspace for microsoft.community/communitytrainings.","BuiltIn","/providers/Microsoft.Authorization/policyDefinitions/0509e2d8-d657-4563-a7c8-b88b9180a6e8","Microsoft.Authorization/policyDefinitions","@{if=; then=}","@{effect=; diagnosticSettingName=; categoryGroup=; resourceLocationList=; logAnalytics=}","Indexed","@{category=Monitoring; version=1.0.0}","Monitoring"
"053d3325-282c-4e5c-b944-24faffd30d77","Deploy Log Analytics extension for Linux VMs. See deprecation notice below","Deploy Log Analytics extension for Linux VMs if the VM Image (OS) is in the list defined and the extension is not installed. Deprecation notice: The Log Analytics agent is on a deprecation path and won't be supported after August 31, 2024. You must migrate to the replacement 'Azure Monitor agent' prior to that date","BuiltIn","/providers/Microsoft.Authorization/policyDefinitions/053d3325-282c-4e5c-b944-24faffd30d77","Microsoft.Authorization/policyDefinitions","@{if=; then=}","@{logAnalytics=; listOfImageIdToInclude=}","Indexed","@{version=3.0.0; category=Monitoring}","Monitoring"
"064a3695-3197-4354-816b-65c7b952db9e","Enable logging by category group for microsoft.documentdb/mongoclusters to Log Analytics","Resource logs should be enabled to track activities and events that take place on your resources and give you visibility and insights into any changes that occur. This policy deploys a diagnostic setting using a category group to route logs to a Log Analytics workspace for microsoft.documentdb/mongoclusters.","BuiltIn","/providers/Microsoft.Authorization/policyDefinitions/064a3695-3197-4354-816b-65c7b952db9e","Microsoft.Authorization/policyDefinitions","@{if=; then=}","@{effect=; diagnosticSettingName=; categoryGroup=; resourceLocationList=; logAnalytics=}","Indexed","@{category=Monitoring; version=1.0.0}","Monitoring"
"068e22bd-8057-466b-9642-7cd2ca476158","Enable logging by category group for microsoft.timeseriesinsights/environments to Log Analytics","Resource logs should be enabled to track activities and events that take place on your resources and give you visibility and insights into any changes that occur. This policy deploys a diagnostic setting using a category group to route logs to a Log Analytics workspace for microsoft.timeseriesinsights/environments.","BuiltIn","/providers/Microsoft.Authorization/policyDefinitions/068e22bd-8057-466b-9642-7cd2ca476158","Microsoft.Authorization/policyDefinitions","@{if=; then=}","@{effect=; diagnosticSettingName=; categoryGroup=; resourceLocationList=; logAnalytics=}","Indexed","@{category=Monitoring; version=1.0.0}","Monitoring"
"0868462e-646c-4fe3-9ced-a733534b6a2c","Deploy - Configure Log Analytics extension to be enabled on Windows virtual machines","Deploy Log Analytics extension for Windows virtual machines if the virtual machine image is in the list defined and the extension is not installed. Deprecation notice: The Log Analytics agent is on a deprecation path and won't be supported after August 31, 2024. You must migrate to the replacement 'Azure Monitor agent' prior to that date.","BuiltIn","/providers/Microsoft.Authorization/policyDefinitions/0868462e-646c-4fe3-9ced-a733534b6a2c","Microsoft.Authorization/policyDefinitions","@{if=; then=}","@{logAnalytics=; listOfImageIdToInclude=; effect=}","Indexed","@{version=3.1.0; category=Monitoring}","Monitoring"
