"DisplayName","Id","Category","PolicyDefinitionId","ParameterEffectDefaultValue","ParameterEffectAllowedValues","Parameters"
"Enable allLogs category group resource logging for supported resources to Log Analytics","/providers/Microsoft.Authorization/policySetDefinitions/0884adba-2312-4468-abeb-5422caed1038","Monitoring","/providers/Microsoft.Authorization/policyDefinitions/1bd91eae-4429-4f23-b780-8c9622e023e3","DeployIfNotExists","System.Object[]","System.Object[]"
"Enable allLogs category group resource logging for supported resources to Log Analytics","/providers/Microsoft.Authorization/policySetDefinitions/0884adba-2312-4468-abeb-5422caed1038","Monitoring","/providers/Microsoft.Authorization/policyDefinitions/f969646f-b6b8-45a0-b736-bf9b4bb933dc","DeployIfNotExists","System.Object[]","System.Object[]"
"Enable allLogs category group resource logging for supported resources to Log Analytics","/providers/Microsoft.Authorization/policySetDefinitions/0884adba-2312-4468-abeb-5422caed1038","Monitoring","/providers/Microsoft.Authorization/policyDefinitions/e40b8f6f-0ecf-4c3b-b095-ba3562256e48","DeployIfNotExists","System.Object[]","System.Object[]"
"Enable allLogs category group resource logging for supported resources to Log Analytics","/providers/Microsoft.Authorization/policySetDefinitions/0884adba-2312-4468-abeb-5422caed1038","Monitoring","/providers/Microsoft.Authorization/policyDefinitions/567c93f7-3661-494f-a30f-0a94d9bfebf8","DeployIfNotExists","System.Object[]","System.Object[]"
"Enable allLogs category group resource logging for supported resources to Log Analytics","/providers/Microsoft.Authorization/policySetDefinitions/0884adba-2312-4468-abeb-5422caed1038","Monitoring","/providers/Microsoft.Authorization/policyDefinitions/6a664864-e2b5-413e-b930-f11caa132f16","DeployIfNotExists","System.Object[]","System.Object[]"
"Enable allLogs category group resource logging for supported resources to Log Analytics","/providers/Microsoft.Authorization/policySetDefinitions/0884adba-2312-4468-abeb-5422caed1038","Monitoring","/providers/Microsoft.Authorization/policyDefinitions/4b05de63-3ad2-4f6d-b421-da21f1328f3b","DeployIfNotExists","System.Object[]","System.Object[]"
"Enable allLogs category group resource logging for supported resources to Log Analytics","/providers/Microsoft.Authorization/policySetDefinitions/0884adba-2312-4468-abeb-5422caed1038","Monitoring","/providers/Microsoft.Authorization/policyDefinitions/0b6b8abb-7761-4e02-ae0e-2c873b5152ca","DeployIfNotExists","System.Object[]","System.Object[]"
"Enable allLogs category group resource logging for supported resources to Log Analytics","/providers/Microsoft.Authorization/policySetDefinitions/0884adba-2312-4468-abeb-5422caed1038","Monitoring","/providers/Microsoft.Authorization/policyDefinitions/856331d3-0169-4dd9-9b04-cbb2ad3d1cf2","DeployIfNotExists","System.Object[]","System.Object[]"
"Enable allLogs category group resource logging for supported resources to Log Analytics","/providers/Microsoft.Authorization/policySetDefinitions/0884adba-2312-4468-abeb-5422caed1038","Monitoring","/providers/Microsoft.Authorization/policyDefinitions/b797045a-b3cd-46e4-adc4-bbadb3381d78","DeployIfNotExists","System.Object[]","System.Object[]"
"Enable allLogs category group resource logging for supported resources to Log Analytics","/providers/Microsoft.Authorization/policySetDefinitions/0884adba-2312-4468-abeb-5422caed1038","Monitoring","/providers/Microsoft.Authorization/policyDefinitions/234bbd1b-05f6-4639-8770-1cd5278ba2c9","DeployIfNotExists","System.Object[]","System.Object[]"
